id	frac	gam	m	status	prosta	solsta	t_mosek	rel_b	psd_relmin	normx	feas
est_rd1_g080	0.80	0.0001691848	190	ok	UNKNOWN	UNKNOWN	0.072789	1.1811e-05	7.2235e-12	8921.5056	1
est_rd1_g099	0.99	0.00020936619	190	ok	UNKNOWN	UNKNOWN	0.070212	8.4377e-06	8.5646e-12	7295.2738	1
est_rd1_g101	1.01	0.00021359581	190	ok	UNKNOWN	UNKNOWN	0.044716	8.2987e-06	1.3519e-12	7037.5206	1
est_rd1_g120	1.20	0.0002537772	190	ok	UNKNOWN	UNKNOWN	0.038034	1.7075e-05	1.6422e-11	5890.4436	1
h2c_rd1_g080	0.80	0.2310288	273	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.025846	1	-1.0866e-10	2.3646e-15	0
h2c_rd1_g099	0.99	0.28589814	273	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.039047	1	-3.7156e-09	1.0753e-15	0
h2c_rd1_g101	1.01	0.29167386	273	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.027345	7.0597e-09	5.689e-13	147.4568	1
h2c_rd1_g120	1.20	0.3465432	273	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.017802	2.7233e-08	9.1439e-12	51.2048	1
h2est_rd1_g080	0.80	0.0001371432	199	ok	UNKNOWN	UNKNOWN	0.048163	4.393e-06	6.7594e-13	20244.3456	1
h2est_rd1_g099	0.99	0.00016971471	199	ok	UNKNOWN	UNKNOWN	0.045166	0.00010888	5.1798e-11	15202.9901	1
h2est_rd1_g101	1.01	0.00017314329	199	ok	UNKNOWN	UNKNOWN	0.069653	2.0383e-06	4.1454e-13	15814.8685	1
h2est_rd1_g120	1.20	0.0002057148	199	ok	UNKNOWN	UNKNOWN	0.091134	1.7553e-06	4.0793e-13	13124.6219	1
h2oco_rd1_g080	0.80	7.225368e-05	57	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.0079264	6.0626e-08	6.1206e-13	99.6587	1
h2oco_rd1_g099	0.99	8.9413929e-05	57	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.0099167	5.3082e-08	6.6179e-13	99.7452	1
h2oco_rd1_g101	1.01	9.1220271e-05	57	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.0073164	5.5677e-08	6.6225e-13	99.757	1
h2oco_rd1_g120	1.20	0.00010838052	57	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.0086108	5.6305e-08	6.66e-13	99.8616	1
hinf2_rd_g080	0.80	1.017768	14006	ok	UNKNOWN	UNKNOWN	479.7818	5.6958e-05	9.8715e-14	111203.9172	1
hinf2_rd_g099	0.99	1.2594879	14006	ok	UNKNOWN	UNKNOWN	422.8405	4.9522e-05	1.1813e-13	57399.3564	1
hinf2_rd_g101	1.01	1.2849321	14006	ok	UNKNOWN	UNKNOWN	341.0648	3.2077e-05	2.1144e-13	32272.9486	1
hinf2_rd_g120	1.20	1.526652	14006	ok	UNKNOWN	UNKNOWN	363.5347	2.1559e-05	1.7116e-13	30011.4931	1
hinf_rd1_g080	0.80	0.1461008	243	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.026333	1	2.4572e-08	5.5362e-15	0
hinf_rd1_g099	0.99	0.18079974	243	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.028959	1	7.3005e-12	2.652e-13	0
hinf_rd1_g101	1.01	0.18445226	243	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.017502	8.3612e-08	1.381e-10	13.737	1
hinf_rd1_g120	1.20	0.2191512	243	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.016716	7.3745e-08	7.3463e-10	5.4003	1
hinf_rd1_hv_g080	0.80	0.1459856	268	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.046863	1	2.4296e-10	3.4651e-17	0
hinf_rd1_hv_g099	0.99	0.18065718	268	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.056251	1	1.6797e-13	1.9457e-18	0
hinf_rd1_hv_g101	1.01	0.18430682	268	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.031077	1.0683e-07	5.0379e-10	6.813	1
hinf_rd1_hv_g120	1.20	0.2189784	268	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.027652	5.6404e-08	6.138e-10	4.1181	1
hinfdu_rd1_g080	0.80	0.1460408	245	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.02392	1	1.0125e-09	2.4993e-14	0
hinfdu_rd1_g099	0.99	0.18072549	245	ok	PRIMAL_INFEASIBLE	PRIMAL_INFEASIBLE_CER	0.037847	1	1.1717e-15	1.3749e-19	0
hinfdu_rd1_g101	1.01	0.18437651	245	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.022993	8.2658e-08	1.6741e-13	245.0352	1
hinfdu_rd1_g120	1.20	0.2190612	245	ok	PRIMAL_AND_DUAL_FEASIBLE	OPTIMAL	0.028938	4.0894e-09	1.4543e-12	111.9847	1
