lab	budget	solve_s	s_per_it	pinf_1000	pinf_2000	pinf_final	dinf_final	gap_final	dobj_final
est_rd1_g080	5000	10.6493	0.00213	-	-				
est_rd1_g099	5000	10.5	0.00210	-	-				
est_rd1_g101	5000	10.4659	0.00209	-	-				
est_rd1_g120	5000	10.4503	0.00209	-	-				
h2c_rd1_g080	5000	12.2933	0.00246	-	-				
h2c_rd1_g099	5000	12.2294	0.00245	-	-				
h2c_rd1_g101	5000	12.1547	0.00243	-	-				
h2c_rd1_g120	5000	12.0853	0.00242	-	-				
h2est_rd1_g080	5000	12.9022	0.00258	-	-				
h2est_rd1_g099	5000	12.9845	0.00260	-	-				
h2est_rd1_g101	5000	13.2365	0.00265	-	-				
h2est_rd1_g120	5000	13.4755	0.00270	-	-				
h2oco_rd1_g080	5000	4.35503	0.00087	-	-				
h2oco_rd1_g099	5000	4.18408	0.00084	-	-				
h2oco_rd1_g101	5000	4.33864	0.00087	-	-				
h2oco_rd1_g120	5000	4.27924	0.00086	-	-				
hinf2_rd_g080	5000	172.461	0.03449	-	-				
hinf2_rd_g099	5000	182.418	0.03648	-	-				
hinf2_rd_g101	5000	160.771	0.03215	-	-				
hinf2_rd_g120	5000	162.721	0.03254	-	-				
hinf_rd1_g080	5000	11.4734	0.00229	-	-				
hinf_rd1_g099	5000	11.2313	0.00225	-	-				
hinf_rd1_g101	5000	11.5186	0.00230	-	-				
hinf_rd1_g120	5000	11.8847	0.00238	-	-				
hinf_rd1_hv_g080	5000	13.8071	0.00276	-	-				
hinf_rd1_hv_g099	5000	13.3393	0.00267	-	-				
hinf_rd1_hv_g101	5000	13.2696	0.00265	-	-				
hinf_rd1_hv_g120	5000	13.1127	0.00262	-	-				
hinfdu_rd1_g080	5000	10.8364	0.00217	-	-				
hinfdu_rd1_g099	5000	11.0213	0.00220	-	-				
hinfdu_rd1_g101	5000	10.7856	0.00216	-	-				
hinfdu_rd1_g120	5000	11.6588	0.00233	-	-				
