id	tol	conv	solve	iters	pinf	dinf	gap	mem
ctrl_rd1	1e-4	0		16900	4.24e-03	5.99e-02	4.32e-01	
ctrl_rd1	1e-6	0		224900	1.40e-03	9.10e-03	3.50e-01	
est_rd1	1e-4	0		45900	6.86e-05	1.16e-05	5.28e-03	
est_rd1	1e-6	0		118500	2.53e-05	5.95e-06	4.01e-03	
h2_2dc_rd	1e-4	0		3000	5.00e-01	1.74e-01	1.00e+00	
h2_2dc_rd	1e-6	0		18700	5.00e-01	2.31e-02	1.00e+00	
h2c_rd1	1e-4	0		13500	6.84e-04	1.55e-05	1.73e-03	
h2c_rd1	1e-6	0		93400	6.91e-06	2.47e-04	3.10e-03	
h2cco_rd1	1e-4	0		24600	5.00e-01	2.29e-01	1.00e+00	
h2cco_rd1	1e-6	0		209900	5.00e-01	4.83e-03	1.00e+00	
h2ctrl_rd1	1e-4	0		14900	4.59e-03	5.10e-02	4.06e-01	
h2ctrl_rd1	1e-6	0		160000	1.57e-03	3.48e-04	3.33e-01	
h2est_rd1	1e-4	0		12800	6.34e-05	1.64e-04	1.52e-02	
h2est_rd1	1e-6	0		110300	5.75e-06	5.62e-06	3.84e-03	
h2o_rd1	1e-4	0		13800	4.87e-04	4.55e-05	1.71e-02	
h2o_rd1	1e-6	0		152300	7.99e-05	5.99e-06	8.02e-03	
h2oco_rd1	1e-4	0		24500	1.36e-05	1.42e-05	4.56e-04	
h2oco_rd1	1e-6	0		401600	6.48e-07	6.12e-07	2.95e-05	
hinf2_rd	1e-4	0		1300	2.26e-03	2.10e-03	5.02e-02	
hinf2_rd	1e-6	0		14500	3.12e-04	8.54e-03	1.25e-01	
hinf2du_rd	1e-4	0		1300	1.65e-02	1.99e-02	3.55e-01	
hinf2du_rd	1e-6	0		14400	4.76e-03	6.62e-02	4.19e-01	
hinf2nc_rd	1e-4	0		900	2.86e-03	2.56e-03	3.13e-02	
hinf2nc_rd	1e-6	0		9600	6.20e-04	9.59e-04	1.02e-01	
hinf_rd1	1e-4	0		10300	1.95e-05	1.52e-05	2.59e-04	
hinf_rd1	1e-6	1	219.66	39122	1.00e-06	4.84e-07	7.63e-07	804
hinf_rd1_hv	1e-4	1	72.3662	4184	1.83e-05	1.69e-05	9.98e-05	804
hinf_rd1_hv	1e-6	0		18100	6.29e-07	7.93e-07	5.52e-06	
hinfco_rd1	1e-4	0		12300	1.64e-03	3.85e-05	2.37e-03	
hinfco_rd1	1e-6	0		159800	1.83e-05	8.68e-04	4.09e-02	
hinfdu_rd1	1e-4	0		14400	1.34e-04	2.15e-05	3.43e-03	
hinfdu_rd1	1e-6	0		163100	2.92e-06	1.34e-06	3.60e-04	
hinfduco_rd1	1e-4	0		26400	3.32e-03	2.68e-02	3.76e-01	
hinfduco_rd1	1e-6	0		597800	9.67e-04	7.46e-05	3.33e-01	
nl_fisher_gamfix	1e-4	1	186.144	4574	1.00e-04	9.60e-05	6.64e-05	942
nl_fisher_gamfix	1e-6	0		22900	2.74e-05	1.83e-05	1.90e-05	
nl_fisher_nobnd	1e-4	1	168.926	4567	9.60e-05	1.00e-04	6.88e-05	940
nl_fisher_nobnd	1e-6	0		24800	2.06e-05	1.92e-05	1.95e-05	
nl_fisher_opt	1e-4	0		2800	5.88e-03	6.22e-03	2.39e-01	
nl_fisher_opt	1e-6	0		22400	1.12e-04	3.29e-03	1.39e-02	
scale_stab_n02	1e-4	1	5.89989	519	4.48e-05	9.92e-05	4.95e-06	806
scale_stab_n02	1e-6	1	45.4078	4023	9.89e-07	9.84e-07	1.18e-07	806
scale_stab_n04	1e-4	1	9.12919	519	4.48e-05	9.92e-05	4.95e-06	808
scale_stab_n04	1e-6	1	69.9664	4023	9.89e-07	9.84e-07	1.18e-07	808
scale_stab_n08	1e-4	1	7.93071	519	4.48e-05	9.92e-05	4.95e-06	814
scale_stab_n08	1e-6	1	59.7073	4023	9.89e-07	9.84e-07	1.18e-07	814
scale_stab_n16	1e-4	1	12.6187	519	4.48e-05	9.92e-05	4.95e-06	850
scale_stab_n16	1e-6	1	82.4983	4023	9.89e-07	9.84e-07	1.18e-07	850
scale_stab_n24	1e-4	1	19.9176	519	4.48e-05	9.92e-05	4.95e-06	906
scale_stab_n32	1e-4	1	28.426	519	4.48e-05	9.92e-05	4.95e-06	976
stab2_rd	1e-4	1	27.5145	1316	1.00e-04	9.71e-05	5.34e-05	868
stab2_rd	1e-6	0		14200	7.50e-06	7.19e-06	6.26e-06	
stab2dual_rd	1e-4	1	27.609	1316	1.00e-04	9.71e-05	5.34e-05	868
stab2dual_rd	1e-6	0		14200	7.50e-06	7.19e-06	6.26e-06	
stab_rd1	1e-4	1	1.2375	386	9.70e-05	6.14e-05	6.74e-07	804
stab_rd1	1e-6	1	16.0442	5104	3.84e-07	9.98e-07	1.70e-07	804
stab_rd1_hv	1e-4	1	2.0058	519	4.48e-05	9.92e-05	4.95e-06	804
stab_rd1_hv	1e-6	1	15.8306	4023	9.89e-07	9.84e-07	1.18e-07	804
stab_rd1_tight	1e-4	1	4.57098	1208	9.92e-05	6.32e-05	9.82e-06	804
stab_rd1_tight	1e-6	1	31.3284	7968	3.90e-07	1.00e-06	2.33e-07	804
stab_tr1	1e-4	1	0.451416	143	7.73e-05	9.69e-05	3.63e-05	804
stab_tr1	1e-6	1	1.97676	697	9.93e-07	8.24e-07	4.81e-08	804
stab_wave1	1e-4	1	1.52222	360	7.47e-05	9.97e-05	7.18e-09	804
stab_wave1	1e-6	1	37.1841	9063	1.93e-07	1.00e-06	1.46e-07	804
stabdual_rd1	1e-4	1	1.24507	386	9.70e-05	6.14e-05	6.74e-07	804
stabdual_rd1	1e-6	1	16.0362	5104	3.84e-07	9.98e-07	1.70e-07	804
stabpde_rd1	1e-4	1	6.51743	2284	3.25e-05	3.26e-05	1.00e-04	804
stabpde_rd1	1e-6	1	111.794	33236	1.88e-07	3.08e-07	1.00e-06	804
stabpded_rd1	1e-4	1	9.50937	2284	3.25e-05	3.26e-05	1.00e-04	804
stabpded_rd1	1e-6	1	132.894	33236	1.88e-07	3.08e-07	1.00e-06	804
wellposed_rd1	1e-4	1	0.236845	44	8.71e-05	5.55e-05	9.14e-08	804
wellposed_rd1	1e-6	1	1.15341	252	8.55e-07	9.89e-07	3.85e-09	804
