id	tol	iters	last_pinf	last_dinf	last_gap	last_pobj	last_dobj	last_t	limiter
ctrl_rd1	1e-4	16900	4.24e-03	5.99e-02	4.32e-01	5.8986e+01	1.4938e+02	119.7	gap
ctrl_rd1	1e-6	224900	1.40e-03	9.10e-03	3.50e-01	1.7805e+02	3.7051e+02	468.0	gap
est_rd1	1e-4	45900	6.86e-05	1.16e-05	5.28e-03	6.5503e-03	1.1926e-02	299.1	gap
est_rd1	1e-6	118500	2.53e-05	5.95e-06	4.01e-03	4.7191e-03	8.7796e-03	899.8	gap
h2_2dc_rd	1e-4	3000	5.00e-01	1.74e-01	1.00e+00	2.3049e-09	2.5541e+09	115.9	gap
h2_2dc_rd	1e-6	18700	5.00e-01	2.31e-02	1.00e+00	1.3193e-08	1.8254e+10	897.8	gap
h2c_rd1	1e-4	13500	6.84e-04	1.55e-05	1.73e-03	2.0478e-01	2.0722e-01	119.3	gap
h2c_rd1	1e-6	93400	6.91e-06	2.47e-04	3.10e-03	2.0484e-01	2.0923e-01	899.7	gap
h2cco_rd1	1e-4	24600	5.00e-01	2.29e-01	1.00e+00	4.2116e-05	2.0526e+10	119.5	gap
h2cco_rd1	1e-6	209900	5.00e-01	4.83e-03	1.00e+00	4.0578e-05	2.0583e+11	899.7	gap
h2ctrl_rd1	1e-4	14900	4.59e-03	5.10e-02	4.06e-01	5.4444e+01	1.2965e+02	119.5	gap
h2ctrl_rd1	1e-6	141900	1.64e-03	5.01e-04	3.33e-01	1.5247e+02	3.0551e+02	803.9	gap
h2est_rd1	1e-4	12800	6.34e-05	1.64e-04	1.52e-02	1.5983e-02	3.1963e-02	119.7	gap
h2o_rd1	1e-4	13800	4.87e-04	4.55e-05	1.71e-02	1.8178e-02	3.6232e-02	119.4	gap
h2oco_rd1	1e-4	24500	1.36e-05	1.42e-05	4.56e-04	-4.6005e-13	4.5642e-04	119.5	gap
hinf2_rd	1e-4	1300	2.26e-03	2.10e-03	5.02e-02	5.8852e-02	1.1798e-01	113.3	gap
hinf2du_rd	1e-4	1300	1.65e-02	1.99e-02	3.55e-01	1.5220e+01	3.2498e+01	113.2	gap
hinf2nc_rd	1e-4	900	2.86e-03	2.56e-03	3.13e-02	3.3377e-02	6.7832e-02	115.5	gap
hinf_rd1	1e-4	10300	1.95e-05	1.52e-05	2.59e-04	2.5832e-01	2.5871e-01	119.5	gap
hinf_rd1_hv	1e-4	4184	1.83e-05	1.69e-05	9.98e-05	2.5803e-01	2.5818e-01	72.5	gap
hinf_rd1_hv	1e-6	18100	6.29e-07	7.93e-07	5.52e-06	2.5807e-01	2.5807e-01	299.5	gap
hinfco_rd1	1e-4	12300	1.64e-03	3.85e-05	2.37e-03	2.6024e-01	2.6385e-01	119.6	gap
hinfdu_rd1	1e-4	14400	1.34e-04	2.15e-05	3.43e-03	1.3087e-01	1.3522e-01	119.6	gap
hinfduco_rd1	1e-4	26400	3.32e-03	2.68e-02	3.76e-01	7.5713e+01	1.6749e+02	119.4	gap
nl_fisher_gamfix	1e-4	2800	2.41e-04	3.26e-04	1.21e-04	0.0000e+00	1.2071e-04	114.1	dinf
nl_fisher_nobnd	1e-4	3100	1.80e-04	2.42e-04	9.56e-05	0.0000e+00	9.5561e-05	116.6	dinf
nl_fisher_opt	1e-4	2800	5.88e-03	6.22e-03	2.39e-01	4.0136e-01	5.4145e-02	116.6	gap
scale_stab_n02	1e-4	519	4.48e-05	9.92e-05	4.95e-06	0.0000e+00	4.9484e-06	6.0	dinf
scale_stab_n02	1e-6	4023	9.89e-07	9.84e-07	1.18e-07	0.0000e+00	1.1844e-07	45.5	pinf
scale_stab_n04	1e-4	519	4.48e-05	9.92e-05	4.95e-06	0.0000e+00	4.9484e-06	9.2	dinf
scale_stab_n04	1e-6	4023	9.89e-07	9.84e-07	1.18e-07	0.0000e+00	1.1844e-07	70.1	pinf
scale_stab_n08	1e-4	519	4.48e-05	9.92e-05	4.95e-06	0.0000e+00	4.9484e-06	8.0	dinf
scale_stab_n08	1e-6	4023	9.89e-07	9.84e-07	1.18e-07	0.0000e+00	1.1844e-07	59.8	pinf
scale_stab_n16	1e-4	519	4.48e-05	9.92e-05	4.95e-06	0.0000e+00	4.9484e-06	12.8	dinf
scale_stab_n16	1e-6	4023	9.89e-07	9.84e-07	1.18e-07	0.0000e+00	1.1844e-07	82.7	pinf
stab2_rd	1e-4	1316	1.00e-04	9.71e-05	5.34e-05	0.0000e+00	5.3375e-05	28.2	pinf
stab2_rd	1e-6	14200	7.50e-06	7.19e-06	6.26e-06	0.0000e+00	6.2605e-06	298.8	pinf
stab2dual_rd	1e-4	1316	1.00e-04	9.71e-05	5.34e-05	0.0000e+00	5.3375e-05	28.3	pinf
stab2dual_rd	1e-6	14200	7.50e-06	7.19e-06	6.26e-06	0.0000e+00	6.2605e-06	298.2	pinf
stab_rd1	1e-4	386	9.70e-05	6.14e-05	6.74e-07	0.0000e+00	6.7424e-07	1.3	pinf
stab_rd1	1e-6	5104	3.84e-07	9.98e-07	1.70e-07	0.0000e+00	-1.7007e-07	16.1	dinf
stab_rd1_hv	1e-4	519	4.48e-05	9.92e-05	4.95e-06	0.0000e+00	4.9484e-06	2.1	dinf
stab_rd1_hv	1e-6	4023	9.89e-07	9.84e-07	1.18e-07	0.0000e+00	1.1844e-07	15.9	pinf
stab_rd1_tight	1e-4	1208	9.92e-05	6.32e-05	9.82e-06	0.0000e+00	-9.8235e-06	4.7	pinf
stab_rd1_tight	1e-6	7968	3.90e-07	1.00e-06	2.33e-07	0.0000e+00	-2.3293e-07	31.4	dinf
stab_tr1	1e-4	143	7.73e-05	9.69e-05	3.63e-05	0.0000e+00	3.6270e-05	0.5	dinf
stab_tr1	1e-6	697	9.93e-07	8.24e-07	4.81e-08	0.0000e+00	4.8074e-08	2.1	pinf
stab_wave1	1e-4	360	7.47e-05	9.97e-05	7.18e-09	0.0000e+00	-7.1821e-09	1.6	dinf
stab_wave1	1e-6	9063	1.93e-07	1.00e-06	1.46e-07	0.0000e+00	1.4605e-07	37.3	dinf
stabdual_rd1	1e-4	386	9.70e-05	6.14e-05	6.74e-07	0.0000e+00	6.7424e-07	1.3	pinf
stabdual_rd1	1e-6	5104	3.84e-07	9.98e-07	1.70e-07	0.0000e+00	-1.7007e-07	16.1	dinf
stabpde_rd1	1e-4	2284	3.25e-05	3.26e-05	1.00e-04	0.0000e+00	9.9985e-05	6.6	gap
