id	cls	dim	kind	status	m	Kf	nblk	Ks	nnzAt	nvar	vec_len	normb	c_nnz	t_wall	t_mosek	t_dump	rel_b	rel_dump	gam	gam_exact	feasratio	numerr	pinf	dinf	psd_min	psd_relmin	normx	trivial	psd_rel_bad	note
stab_rd1	stability	1D	feas	ok	130	43	3	[10 15 6]	982	404	239	9.42809e-07	0	5.69256	0.0103812	0.0056817	1.32278e-08	1.32278e-08	NaN	NaN	1.00903	0	0	0	2.33307e-16	1.69403e-11	2.05209e-05	0	-0.0895686	
stabdual_rd1	stability	1D	feas	ok	130	43	3	[10 15 6]	982	404	239	9.42809e-07	0	1.55015	0.0081875	0.0055487	1.33245e-08	1.33245e-08	NaN	NaN	1.00903	0	0	0	2.33308e-16	1.69403e-11	2.05209e-05	0	-0.0895686	
stabpde_rd1	stability	1D	feas	ok	54	0	3	[10 15 6]	1054	361	196	8.02823e-06	0	1.47006	0.0089903	0.0082257	5.08852e-08	5.08852e-08	NaN	NaN	1.01736	0	0	0	1.53211e-15	9.37513e-12	0.000196774	0	9.37513e-12	
stabpded_rd1	stability	1D	feas	ok	54	0	3	[10 15 6]	1054	361	196	8.02823e-06	0	1.02911	0.0094072	0.0066706	5.09999e-08	5.09999e-08	NaN	NaN	1.01725	0	0	0	1.53246e-15	9.37737e-12	0.000196773	0	9.37737e-12	
stab_rd1_hv	stability	1D	feas	ok	135	45	3	[11 20 11]	1315	687	387	9.42809e-07	0	0.976978	0.0078125	0.006473	2.79054e-08	2.79055e-08	NaN	NaN	1.00666	0	0	0	4.7662e-16	2.77383e-11	2.50517e-05	0	-0.131179	
stab_rd1_tight	stability	1D	feas	ok	135	45	3	[11 20 11]	1315	687	387	9.42809e-07	0	0.602096	0.0092815	0.00707	1.15051e-08	1.15051e-08	NaN	NaN	0.985374	0	0	0	3.51693e-16	5.4586e-12	7.49187e-05	0	-0.0519762	
stab_tr1	stability	1D	feas	ok	96	43	3	[10 15 6]	730	404	239	2e-06	0	0.630999	0.0043477	0.0054447	6.42328e-08	6.42328e-08	NaN	NaN	0.932941	0	0	0	3.03952e-15	3.73831e-10	1.71056e-05	0	-0.448683	
stab_wave1	stability	1D	feas	ok	520	172	3	[20 30 12]	4016	1616	925	1.33333e-06	0	0.94292	0.0210213	0.0175991	5.89671e-08	5.89671e-08	NaN	NaN	1.00366	0	0	0	8.19771e-16	1.18296e-10	2.03407e-05	0	-0.526183	
hinf_rd1	hinf	1D	obj	ok	242	44	4	[10 31 13 1]	1945	1275	687	0.707107	1	2.82811	0.0221656	0.0219133	5.10481e-07	5.10481e-07	0.182626	NaN	0.99571	0	0	0	1.76157e-09	2.40004e-11	81.6515	0	-0.0018381	
hinfco_rd1	hinf	1D	obj	ok	176	1	4	[10 31 13 1]	2497	1232	644	0.707107	1	3.5469	0.115791	0.118319	9.39136e-07	9.39136e-07	0.193002	NaN	0.998404	2	0	0	1.64607e-09	4.34908e-12	462.572	0	4.34908e-12	
hinfdu_rd1	hinf	1D	obj	ok	244	44	4	[10 31 13 1]	2005	1275	687	1.41421	1	1.5207	0.0344111	0.0303771	1.51843e-08	1.51843e-08	0.182551	NaN	0.998088	0	0	0	3.34413e-11	5.33714e-14	923.798	0	-0.128707	
hinfduco_rd1	hinf	1D	obj	ok	168	1	4	[10 31 13 1]	2200	1232	644	1.41421	1	1.58526	0.0460864	0.0523819	0.001864	0.001864	8251.91	NaN	-0.230266	2	0	0	1.41503e-05	6.63495e-13	2.605e+07	0	6.63495e-13	
hinf_rd1_hv	hinf	1D	obj	ok	267	46	4	[11 41 23 1]	3266	2378	1250	0.707107	1	1.32349	0.0256796	0.0218554	4.82793e-08	4.82793e-08	0.182482	NaN	0.992536	0	0	0	6.62797e-10	1.02697e-10	8.0367	0	-0.0212676	
h2c_rd1	h2	1D	obj	ok	272	44	8	[10 1 30 16 12 7 1 1]	2337	1496	809	1.41421	1	1.23224	0.0327008	0.0306361	2.77525e-07	2.77525e-07	0.288786	NaN	0.995928	0	0	0	6.49828e-11	1.16317e-13	605.894	0	-0.00946292	
h2cco_rd1	h2	1D	obj	ok	56	1	5	[10 15 6 1 1]	1111	364	199	1	1	0.964947	0.0261936	0.0218655	1	1	1.01349	NaN	-0.999753	0	1	0	1.32558e-11	1.59114e-12	10.2046	1	1.59114e-12	
h2o_rd1	h2	1D	obj	ok	269	44	7	[10 8 16 30 7 12 1]	2330	1558	843	0.707107	1	1.59582	0.0625672	0.0639626	3.97282e-06	3.97282e-06	0.0026335	NaN	0.323739	2	0	0	9.51467e-09	1.00588e-12	18192.1	0	-0.065072	
h2oco_rd1	h2	1D	obj	ok	56	1	5	[10 15 6 1 1]	1056	364	199	0.5	1	1.75693	0.0097993	0.0072389	5.67846e-08	5.67846e-08	9.03171e-05	NaN	0.997604	0	0	0	4.9306e-11	1.16946e-12	49.4668	0	1.16946e-12	
est_rd1	estimator	1D	obj	ok	189	4	4	[10 32 14 1]	2592	1325	693	0.707107	1	4.27811	0.0648021	0.0523175	1.07103e-06	1.07103e-06	0.000211481	NaN	0.518507	0	0	0	1.55482e-09	3.61037e-13	5102.25	0	-0.317185	
h2est_rd1	estimator	1D	obj	ok	198	25	7	[10 17 30 8 12 1 1]	2559	1524	814	0.707107	1	2.51112	0.069567	0.0629755	6.45269e-07	6.4527e-07	0.000171429	NaN	0.637335	2	0	0	7.76496e-10	9.98943e-14	11731.8	0	-0.29125	
ctrl_rd1	controller	1D	obj	ok	181	4	4	[10 32 14 1]	2293	1325	693	1.41421	1	1.73786	0.0494362	0.0412102	0.00108361	0.00108361	15433.1	NaN	-0.245056	2	0	0	4.12597e-06	7.32852e-14	6.95012e+07	0	-0.0758059	
h2ctrl_rd1	controller	1D	obj	ok	202	8	7	[10 30 17 12 8 1 1]	2537	1507	797	1.41421	1	1.40816	0.0475875	0.0465417	0.000781056	0.000781052	18395.6	NaN	-0.155426	2	0	0	1.70026e-06	3.25924e-14	7.58613e+07	0	-0.0491396	
wellposed_rd1	wellposed	1D	feas	ok	108	0	6	[10 10 15 15 6 6]	2148	722	392	17.6813	0	1.3779	0.0098271	0.0142571	8.74222e-08	8.74222e-08	0	NaN	0.999991	0	0	0	7.51795e-09	4.6073e-11	256.783	0	4.6073e-11	
nl_fisher_opt	nonlinear	1D	obj	ok	5093	1	6	[5 50 50 40 456 380]	1.80334e+06	358962	179972	18.4632	1	88.3716	33.474	33.7053	5.108e-06	5.108e-06	NaN	NaN	1	0	0	0	3.31589e-09	7.94468e-12	687.445	0	7.94468e-12	
nl_fisher_gamfix	nonlinear	1D	feas	ok	5093	0	6	[5 50 50 40 456 380]	1.80334e+06	358961	179971	18.4632	0	77.0033	36.3938	35.2171	5.14548e-06	5.14548e-06	NaN	NaN	0.696908	0	0	0	6.78662e-09	1.07285e-11	1019.69	0	1.07285e-11	
nl_fisher_nobnd	nonlinear	1D	feas	ok	4978	0	4	[5 50 456 380]	1.79684e+06	354861	177876	18.415	0	77.72	39.0993	39.4919	3.43612e-05	3.43612e-05	NaN	NaN	0.921914	0	0	0	1.64727e-08	6.27199e-12	4637.55	0	6.27199e-12	
stab2_rd	stability	2D	feas	ok	3456	0	2	[8 424]	557492	179840	90136	1.47214e-05	0	23.0672	13.5773	13.4537	2.08158	2.08158	NaN	NaN	-1	2	0	0	5.56097e-13	3.00447e-11	0.0276935	0	3.00447e-11	
stab2dual_rd	stability	2D	feas	ok	3456	0	2	[8 424]	557492	179840	90136	1.47214e-05	0	24.9231	16.7117	16.1741	0.00843163	0.00843163	NaN	NaN	-1	2	0	0	5.51144e-13	2.65957e-11	0.0287916	0	2.65957e-11	
