id	cls	dim	kind	status	m	Kf	nblk	Ks	nnzAt	nvar	vec_len	normb	c_nnz	t_wall	t_mosek	t_dump	rel_b	rel_dump	gam	gam_exact	feasratio	numerr	pinf	dinf	psd_min	psd_relmin	normx	trivial	note
stab_rd1	stability	1D	feas	ok	130	43	3	[10 15 6]	982	404	239	9.42809e-07	0	5.63993	0.0098814	0.0067501	1.32278e-08	1.32278e-08	NaN	NaN	1.00903	0	0	0	-1.23357e-06	-0.0895686	2.05209e-05	0	
stabdual_rd1	stability	1D	feas	ok	130	43	3	[10 15 6]	982	404	239	9.42809e-07	0	2.16067	0.0084496	0.0063088	1.33245e-08	1.33245e-08	NaN	NaN	1.00903	0	0	0	-1.23357e-06	-0.0895686	2.05209e-05	0	
stabpde_rd1	stability	1D	feas	ok	54	0	3	[10 15 6]	1054	361	196	8.02823e-06	0	1.78431	0.0067482	0.0077012	5.08852e-08	5.08852e-08	NaN	NaN	1.01736	0	0	0	1.53211e-15	9.37513e-12	0.000196774	0	
stabpded_rd1	stability	1D	feas	ok	54	0	3	[10 15 6]	1054	361	196	8.02823e-06	0	1.42805	0.0091675	0.0060097	5.09999e-08	5.09999e-08	NaN	NaN	1.01725	0	0	0	1.53246e-15	9.37737e-12	0.000196773	0	
stab_rd1_hv	stability	1D	feas	ok	135	45	3	[11 20 11]	1315	687	387	9.42809e-07	0	1.43615	0.0079583	0.0081119	2.79054e-08	2.79055e-08	NaN	NaN	1.00666	0	0	0	-2.25401e-06	-0.131179	2.50517e-05	0	
stab_rd1_tight	stability	1D	feas	ok	135	45	3	[11 20 11]	1315	687	387	9.42809e-07	0	1.20817	0.0103839	0.0106977	1.15051e-08	1.15051e-08	NaN	NaN	0.985374	0	0	0	-3.34878e-06	-0.0519762	7.49187e-05	0	
stab_tr1	stability	1D	feas	ok	96	43	3	[10 15 6]	730	404	239	2e-06	0	1.18183	0.0069491	0.004983	6.42328e-08	6.42328e-08	NaN	NaN	0.932941	0	0	0	-3.64812e-06	-0.448683	1.71056e-05	0	
stab_wave1	stability	1D	feas	ok	520	172	3	[20 30 12]	4016	1616	925	1.33333e-06	0	1.6188	0.0249926	0.0281689	5.89671e-08	5.89671e-08	NaN	NaN	1.00366	0	0	0	-3.64637e-06	-0.526183	2.03407e-05	0	
hinf_rd1	hinf	1D	obj	ok	242	44	4	[10 31 13 1]	1945	1275	687	0.707107	1	2.76285	0.0216286	0.0232078	5.10481e-07	5.10481e-07	0.182626	NaN	0.99571	0	0	0	-0.134912	-0.0018381	81.6515	0	
hinfco_rd1	hinf	1D	obj	ok	176	1	4	[10 31 13 1]	2497	1232	644	0.707107	1	3.76693	0.114032	0.110258	9.39136e-07	9.39136e-07	0.193002	NaN	0.998404	2	0	0	1.64607e-09	4.34908e-12	462.572	0	
