id	tol	status	rel_b_v	psd_v	psd_relv	dual_v	asym	obj_v	normx_v	note
hinf_rd1_hv	1e-4	ok	3.65056e-05	-7.45034e-09	-1.37195e-09	-1.5892e-05	0	0.258028	7.10225	
scale_stab_n02	1e-4	ok	8.96268e-05	-1.86867e-10	-7.59511e-11	-5.42082e-05	0	0	5.78637	
scale_stab_n02	1e-6	ok	1.97845e-06	-8.44454e-13	-3.43083e-13	-2.14627e-07	0	0	5.7877	
scale_stab_n04	1e-4	ok	8.96268e-05	-1.32135e-10	-7.59512e-11	-3.8331e-05	0	0	5.78637	
scale_stab_n04	1e-6	ok	1.97845e-06	-5.99014e-13	-3.44172e-13	-1.51764e-07	0	0	5.7877	
scale_stab_n08	1e-4	ok	8.96268e-05	-9.34336e-11	-7.59513e-11	-2.71041e-05	0	0	5.78637	
scale_stab_n08	1e-6	ok	1.97845e-06	-4.23791e-13	-3.44353e-13	-1.07314e-07	0	0	5.7877	
scale_stab_n16	1e-4	ok	8.96268e-05	-6.60677e-11	-7.59514e-11	-1.91655e-05	0	0	5.78637	
scale_stab_n16	1e-6	ok	1.97845e-06	-2.99654e-13	-3.44341e-13	-7.58822e-08	0	0	5.7877	
stab2_rd	1e-4	ok	0.000199978	-3.01427e-10	-7.02257e-10	-4.30148e-05	0	0	0.754211	
stab2dual_rd	1e-4	ok	0.000199978	-3.01427e-10	-7.02256e-10	-4.30148e-05	0	0	0.754211	
stab_rd1	1e-4	ok	0.000193957	-2.36643e-08	-4.84573e-09	-2.77356e-05	0	0	6.69576	
stab_rd1	1e-6	ok	7.677e-07	-2.19478e-13	-4.49007e-14	-1.9344e-07	0	0	6.69429	
stab_rd1_hv	1e-4	ok	8.96268e-05	-2.64269e-10	-7.5951e-11	-7.66619e-05	0	0	5.78637	
stab_rd1_hv	1e-6	ok	1.97845e-06	-1.19431e-12	-3.43105e-13	-3.03529e-07	0	0	5.7877	
stab_rd1_tight	1e-4	ok	0.000198377	-1.50499e-10	-1.07274e-11	-1.3837e-05	0	0	23.1716	
stab_rd1_tight	1e-6	ok	7.79579e-07	-9.27179e-14	-6.60902e-15	-2.75047e-07	0	0	23.1702	
stab_tr1	1e-4	ok	0.000154595	-3.58804e-08	-4.36347e-08	-5.2098e-05	0	0	1.08342	
stab_tr1	1e-6	ok	1.98595e-06	-3.71925e-11	-4.49256e-11	-1.57896e-07	0	0	1.08805	
stab_wave1	1e-4	ok	0.000149431	-2.86144e-09	-3.32425e-09	-5.3557e-06	0	0	2.39406	
stab_wave1	1e-6	ok	3.8617e-07	-1.44985e-12	-1.68762e-12	-1.05948e-07	0	0	2.39469	
stabdual_rd1	1e-4	ok	0.000193957	-2.36643e-08	-4.84573e-09	-2.77356e-05	0	0	6.69576	
stabdual_rd1	1e-6	ok	7.677e-07	-2.19167e-13	-4.4837e-14	-1.9344e-07	0	0	6.69429	
stabpde_rd1	1e-4	ok	6.4996e-05	-4.88724e-10	-1.77132e-10	-2.40938e-05	0	0	3.46718	
stabpde_rd1	1e-6	ok	3.75042e-07	-5.29683e-13	-1.61472e-13	-2.26314e-07	0	0	4.16587	
stabpded_rd1	1e-4	ok	6.4996e-05	-4.88724e-10	-1.77132e-10	-2.40938e-05	0	0	3.46718	
stabpded_rd1	1e-6	ok	3.75042e-07	-5.29704e-13	-1.61479e-13	-2.26314e-07	0	0	4.16587	
wellposed_rd1	1e-4	ok	0.000174161	-8.78573e-07	-2.07688e-06	-3.33123e-05	0	0	0.660483	
wellposed_rd1	1e-6	ok	1.70907e-06	-1.78073e-12	-4.20797e-12	-2.82885e-07	0	0	0.660475	
nl_fisher_gamfix	1e-4	ok	0.000199922	-9.1317e-11	-7.79587e-11	-5.08192e-05	0	0	1.29085	
nl_fisher_nobnd	1e-4	ok	0.000192008	-3.75855e-10	-3.20571e-10	-5.30233e-05	0	0	1.28592	
scale_stab_n24	1e-4	ok	8.96268e-05	-5.39441e-11	-7.59515e-11	-1.56486e-05	0	0	5.78637	
scale_stab_n32	1e-4	ok	8.96268e-05	-4.6717e-11	-7.59516e-11	-1.3552e-05	0	0	5.78637	
hinf_rd1	1e-6	ok	1.99959e-06	-6.48277e-12	-4.0476e-13	-5.35231e-07	0	0.258286	20.1833	
