id	verdict	m	Kf	Ks	nnzAt	rel_b	ref_rel_b	t_wall	note
stab_rd1	PASS	130	43	[10 15 6]	982	1.32278e-08	1.32278e-08	3.86	
stabdual_rd1	PASS	130	43	[10 15 6]	982	1.33245e-08	1.33245e-08	1.58	
stabpde_rd1	PASS	54	0	[10 15 6]	1054	5.08852e-08	5.08852e-08	1.91	
stabpded_rd1	PASS	54	0	[10 15 6]	1054	5.09999e-08	5.09999e-08	1.75	
stab_rd1_hv	PASS	135	45	[11 20 11]	1315	2.79054e-08	2.79054e-08	1.31	
stab_rd1_tight	PASS	135	45	[11 20 11]	1315	1.15051e-08	1.15051e-08	1.34	
stab_tr1	PASS	96	43	[10 15 6]	730	6.42328e-08	6.42328e-08	1.24	
stab_wave1	PASS	520	172	[20 30 12]	4016	5.89671e-08	5.89671e-08	1.68	
hinf_rd1	PASS	242	44	[10 31 13 1]	1945	5.10481e-07	5.10481e-07	2.98	
hinfco_rd1	PASS	176	1	[10 31 13 1]	2497	9.39136e-07	9.39136e-07	3.79	
hinfdu_rd1	PASS	244	44	[10 31 13 1]	2005	1.51843e-08	1.51843e-08	1.95	
hinfduco_rd1	PASS	168	1	[10 31 13 1]	2200	0.001864	0.001864	2.50	still fails as documented
hinf_rd1_hv	PASS	267	46	[11 41 23 1]	3266	4.82793e-08	4.82793e-08	1.98	
h2c_rd1	PASS	272	44	[10 1 30 16 12 7 1 1]	2337	2.77525e-07	2.77525e-07	2.16	
h2cco_rd1	PASS	56	1	[10 15 6 1 1]	1111	1	1	2.09	still fails as documented
h2o_rd1	PASS	269	44	[10 8 16 30 7 12 1]	2330	3.97282e-06	3.97282e-06	2.09	
h2oco_rd1	PASS	56	1	[10 15 6 1 1]	1056	5.67846e-08	5.67846e-08	1.77	
est_rd1	PASS	189	4	[10 32 14 1]	2592	1.07103e-06	1.07103e-06	5.17	
h2est_rd1	PASS	198	25	[10 17 30 8 12 1 1]	2559	6.45269e-07	6.45269e-07	3.29	
ctrl_rd1	PASS	181	4	[10 32 14 1]	2293	0.00108361	0.00108361	2.91	still fails as documented
h2ctrl_rd1	PASS	202	8	[10 30 17 12 8 1 1]	2537	0.000781056	0.000781056	3.12	still fails as documented
wellposed_rd1	PASS	108	0	[10 10 15 15 6 6]	2148	8.74222e-08	8.74222e-08	2.72	
