Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/est_rd1/
              vector length: 693
      number of constraints: 189
           number of blocks: 5
  number of non-zeros in At: 2592
  number of non-zeros in  b: 12
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size   4
        1 matrices of size    1 (small)
        1 matrices of size   10 (small)
        1 matrices of size   14 (small)
        1 matrices of size   32 (small)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 1e-06
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 5.00e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.1 | 1.0e+02 
   50 | 6.32e-02 4.80e-03 |  2.2041e-02  1.3763e-01 9.97e-02 |   0.5 | 3.1e+00 
  100 | 1.68e-02 1.98e-02 |  1.9216e-01  3.6166e-01 1.09e-01 |   0.9 | 1.6e+00 
  150 | 8.58e-03 1.62e-02 |  1.4758e-01  2.6684e-01 8.43e-02 |   1.3 | 7.8e-01 
  200 | 5.68e-03 1.37e-02 |  1.3023e-01  2.6163e-01 9.44e-02 |   1.7 | 3.9e-01 
  300 | 4.23e-03 5.48e-03 |  1.1019e-01  2.0973e-01 7.54e-02 |   2.5 | 1.6e+00 
  400 | 2.90e-03 3.12e-03 |  8.7351e-02  1.6979e-01 6.56e-02 |   3.3 | 1.6e+00 
  500 | 4.23e-03 2.43e-03 |  7.8984e-02  1.5304e-01 6.01e-02 |   4.1 | 6.2e+00 
  600 | 2.95e-03 1.97e-03 |  6.9955e-02  1.3699e-01 5.55e-02 |   4.8 | 6.2e+00 
  700 | 2.11e-03 1.67e-03 |  6.5582e-02  1.2823e-01 5.25e-02 |   5.6 | 6.2e+00 
  800 | 1.49e-03 1.40e-03 |  6.0502e-02  1.1809e-01 4.89e-02 |   6.3 | 6.2e+00 
  900 | 1.30e-03 1.23e-03 |  5.6696e-02  1.1079e-01 4.63e-02 |   7.1 | 6.2e+00 
 1000 | 1.10e-03 1.10e-03 |  5.3832e-02  1.0521e-01 4.43e-02 |   7.9 | 6.2e+00 
 1100 | 1.44e-03 9.26e-04 |  4.9759e-02  9.6820e-02 4.10e-02 |   8.7 | 6.2e+00 
 1200 | 5.59e-04 8.93e-04 |  4.8435e-02  9.4588e-02 4.04e-02 |   9.5 | 1.6e+00 
 1300 | 6.07e-04 8.22e-04 |  4.6942e-02  9.1719e-02 3.93e-02 |  10.2 | 6.2e+00 
 1400 | 8.15e-04 7.30e-04 |  4.4504e-02  8.6698e-02 3.73e-02 |  11.0 | 6.2e+00 
 1500 | 5.70e-04 6.89e-04 |  4.3228e-02  8.4300e-02 3.64e-02 |  11.8 | 6.2e+00 
 1600 | 6.63e-04 6.29e-04 |  4.1516e-02  8.0763e-02 3.50e-02 |  12.5 | 6.2e+00 
 1700 | 5.21e-04 6.00e-04 |  4.0640e-02  7.9030e-02 3.43e-02 |  13.3 | 6.2e+00 
 1800 | 5.74e-04 5.56e-04 |  3.9253e-02  7.6164e-02 3.31e-02 |  14.1 | 6.2e+00 
 1900 | 4.33e-04 5.35e-04 |  3.8490e-02  7.4705e-02 3.25e-02 |  14.9 | 6.2e+00 
 2000 | 4.84e-04 5.01e-04 |  3.7365e-02  7.2461e-02 3.16e-02 |  15.7 | 6.2e+00 
 2100 | 7.87e-04 4.73e-04 |  3.6452e-02  7.0534e-02 3.08e-02 |  16.4 | 1.2e+01 
 2200 | 4.01e-04 4.59e-04 |  3.5830e-02  6.9354e-02 3.03e-02 |  17.2 | 3.1e+00 
 2300 | 6.48e-04 4.35e-04 |  3.4983e-02  6.7705e-02 2.97e-02 |  18.0 | 1.2e+01 
 2400 | 6.06e-04 4.15e-04 |  3.4222e-02  6.6170e-02 2.90e-02 |  18.8 | 1.2e+01 
 2500 | 3.53e-04 4.04e-04 |  3.3785e-02  6.5268e-02 2.86e-02 |  19.6 | 3.1e+00 
 2600 | 5.47e-04 3.86e-04 |  3.3087e-02  6.3952e-02 2.81e-02 |  20.4 | 1.2e+01 
 2700 | 5.00e-04 3.71e-04 |  3.2481e-02  6.2738e-02 2.76e-02 |  21.2 | 1.2e+01 
 2800 | 3.08e-04 3.63e-04 |  3.2147e-02  6.2024e-02 2.73e-02 |  22.0 | 3.1e+00 
 2900 | 4.54e-04 3.50e-04 |  3.1576e-02  6.0942e-02 2.69e-02 |  22.8 | 1.2e+01 
 3000 | 4.13e-04 3.37e-04 |  3.1072e-02  5.9929e-02 2.65e-02 |  23.6 | 1.2e+01 
 3100 | 3.97e-04 3.26e-04 |  3.0609e-02  5.8943e-02 2.60e-02 |  24.3 | 1.2e+01 
 3200 | 3.77e-04 3.15e-04 |  3.0125e-02  5.8008e-02 2.56e-02 |  25.1 | 1.2e+01 
 3300 | 3.67e-04 3.06e-04 |  2.9681e-02  5.7139e-02 2.53e-02 |  25.9 | 1.2e+01 
 3400 | 3.54e-04 2.97e-04 |  2.9266e-02  5.6327e-02 2.49e-02 |  26.8 | 1.2e+01 
 3500 | 3.42e-04 2.88e-04 |  2.8881e-02  5.5560e-02 2.46e-02 |  27.6 | 1.2e+01 
 3600 | 3.31e-04 2.81e-04 |  2.8513e-02  5.4831e-02 2.43e-02 |  28.4 | 1.2e+01 
 3700 | 3.19e-04 2.73e-04 |  2.8163e-02  5.4138e-02 2.40e-02 |  29.1 | 1.2e+01 
 3800 | 3.07e-04 2.66e-04 |  2.7829e-02  5.3478e-02 2.37e-02 |  29.9 | 1.2e+01 
 3900 | 2.96e-04 2.60e-04 |  2.7512e-02  5.2850e-02 2.35e-02 |  30.7 | 1.2e+01 
 4000 | 2.85e-04 2.54e-04 |  2.7209e-02  5.2252e-02 2.32e-02 |  31.5 | 1.2e+01 
 4100 | 2.74e-04 2.48e-04 |  2.6919e-02  5.1679e-02 2.30e-02 |  32.3 | 1.2e+01 
 4200 | 2.64e-04 2.43e-04 |  2.6642e-02  5.1132e-02 2.27e-02 |  33.1 | 1.2e+01 
 4300 | 2.54e-04 2.38e-04 |  2.6377e-02  5.0608e-02 2.25e-02 |  33.9 | 1.2e+01 
 4400 | 2.45e-04 2.33e-04 |  2.6122e-02  5.0105e-02 2.23e-02 |  34.7 | 1.2e+01 
 4500 | 2.35e-04 2.28e-04 |  2.5877e-02  4.9622e-02 2.21e-02 |  35.5 | 1.2e+01 
 4600 | 2.26e-04 2.24e-04 |  2.5642e-02  4.9158e-02 2.19e-02 |  36.3 | 1.2e+01 
 4700 | 2.17e-04 2.20e-04 |  2.5417e-02  4.8711e-02 2.17e-02 |  37.0 | 1.2e+01 
 4800 | 2.70e-04 2.12e-04 |  2.5024e-02  4.7890e-02 2.13e-02 |  37.8 | 1.2e+01 
 4900 | 1.78e-04 2.10e-04 |  2.4886e-02  4.7628e-02 2.12e-02 |  38.6 | 3.1e+00 
 5000 | 2.15e-04 2.06e-04 |  2.4673e-02  4.7228e-02 2.10e-02 |  39.4 | 1.2e+01 
 5100 | 5.14e-04 1.98e-04 |  2.4221e-02  4.6320e-02 2.06e-02 |  40.1 | 2.5e+01 
 5200 | 4.87e-04 1.90e-04 |  2.3791e-02  4.5446e-02 2.03e-02 |  40.6 | 2.5e+01 
 5300 | 3.11e-04 1.86e-04 |  2.3556e-02  4.4965e-02 2.00e-02 |  41.1 | 1.2e+01 
 5400 | 2.63e-04 1.82e-04 |  2.3346e-02  4.4530e-02 1.98e-02 |  41.6 | 1.2e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 5500 | 2.07e-04 1.81e-04 |  2.3200e-02  4.4289e-02 1.98e-02 |  42.3 | 1.0e+02 
 5600 | 4.24e-03 1.62e-04 |  2.2225e-02  4.2034e-02 1.86e-02 |  43.2 | 1.0e+02 
 5700 | 1.24e-03 1.50e-04 |  2.1544e-02  4.0558e-02 1.79e-02 |  44.1 | 5.0e+01 
 5800 | 1.08e-03 1.42e-04 |  2.1035e-02  3.9507e-02 1.74e-02 |  45.0 | 5.0e+01 
 5900 | 7.21e-04 1.38e-04 |  2.0747e-02  3.8927e-02 1.72e-02 |  45.9 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 6000 | 5.53e-04 1.35e-04 |  2.0463e-02  3.8417e-02 1.70e-02 |  46.9 | 1.0e+02 
 6100 | 9.06e-04 1.29e-04 |  2.0040e-02  3.7612e-02 1.66e-02 |  47.8 | 5.0e+01 
 6200 | 8.91e-04 1.23e-04 |  1.9658e-02  3.6857e-02 1.63e-02 |  48.7 | 5.0e+01 
 6300 | 5.44e-04 1.20e-04 |  1.9398e-02  3.6435e-02 1.61e-02 |  49.7 | 2.5e+01 
 6400 | 4.86e-04 1.18e-04 |  1.9186e-02  3.6088e-02 1.60e-02 |  50.7 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 6500 | 4.05e-04 1.17e-04 |  1.9062e-02  3.5881e-02 1.59e-02 |  51.7 | 1.0e+02 
 6600 | 1.92e-03 1.10e-04 |  1.8536e-02  3.4824e-02 1.55e-02 |  52.6 | 1.0e+02 
 6700 | 7.12e-04 1.05e-04 |  1.8261e-02  3.4152e-02 1.51e-02 |  53.5 | 5.0e+01 
 6800 | 6.22e-04 1.02e-04 |  1.8010e-02  3.3615e-02 1.48e-02 |  54.5 | 5.0e+01 
 6900 | 4.63e-04 1.00e-04 |  1.7859e-02  3.3308e-02 1.47e-02 |  55.4 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 7000 | 3.99e-04 9.86e-05 |  1.7711e-02  3.3033e-02 1.46e-02 |  56.4 | 1.0e+02 
 7100 | 5.27e-04 9.58e-05 |  1.7473e-02  3.2584e-02 1.44e-02 |  57.4 | 5.0e+01 
 7200 | 5.18e-04 9.31e-05 |  1.7246e-02  3.2159e-02 1.42e-02 |  58.3 | 5.0e+01 
 7300 | 3.59e-04 9.17e-05 |  1.7096e-02  3.1923e-02 1.41e-02 |  59.3 | 2.5e+01 
 7400 | 3.36e-04 9.05e-05 |  1.6961e-02  3.1724e-02 1.41e-02 |  60.3 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 7500 | 3.09e-04 9.01e-05 |  1.6887e-02  3.1607e-02 1.40e-02 |  61.2 | 1.0e+02 
 7600 | 1.20e-03 8.60e-05 |  1.6554e-02  3.0971e-02 1.38e-02 |  62.1 | 1.0e+02 
 7700 | 4.91e-04 8.36e-05 |  1.6366e-02  3.0560e-02 1.36e-02 |  63.1 | 5.0e+01 
 7800 | 4.26e-04 8.17e-05 |  1.6202e-02  3.0217e-02 1.34e-02 |  64.0 | 5.0e+01 
 7900 | 3.31e-04 8.08e-05 |  1.6110e-02  3.0024e-02 1.33e-02 |  65.0 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 8000 | 2.97e-04 7.99e-05 |  1.6019e-02  2.9847e-02 1.32e-02 |  66.0 | 1.0e+02 
 8100 | 3.67e-04 7.82e-05 |  1.5876e-02  2.9548e-02 1.31e-02 |  66.9 | 5.0e+01 
 8200 | 3.69e-04 7.66e-05 |  1.5726e-02  2.9263e-02 1.30e-02 |  67.8 | 5.0e+01 
 8300 | 2.87e-04 7.57e-05 |  1.5622e-02  2.9106e-02 1.29e-02 |  68.8 | 2.5e+01 
 8400 | 2.74e-04 7.50e-05 |  1.5532e-02  2.8971e-02 1.29e-02 |  69.8 | 2.5e+01 
pobj and dobj both descend, pobj < dobj, help dual!
 8500 | 2.62e-04 7.47e-05 |  1.5478e-02  2.8894e-02 1.28e-02 |  70.7 | 1.0e+02 
 8600 | 8.31e-04 7.21e-05 |  1.5253e-02  2.8453e-02 1.26e-02 |  71.7 | 1.0e+02 
