Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/h2cco_rd1/
              vector length: 199
      number of constraints: 56
           number of blocks: 6
  number of non-zeros in At: 1111
  number of non-zeros in  b: 1
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size   1
        2 matrices of size    1 (small)
        1 matrices of size    6 (small)
        1 matrices of size   10 (small)
        1 matrices of size   15 (small)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 1e-06
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 5.00e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.1 | 1.0e+02 
   50 | 5.00e-01 7.88e-05 |  1.3730e-06  5.8900e+00 8.55e-01 |   0.4 | 3.1e+00 
  100 | 5.00e-01 8.34e-04 |  2.1661e-06  1.9437e+02 9.95e-01 |   0.6 | 9.8e-02 
  150 | 5.00e-01 1.82e-02 |  6.4167e-06  6.2257e+03 1.00e+00 |   0.9 | 3.1e-03 
  200 | 5.00e-01 4.37e-01 |  2.2021e-05  1.9923e+05 1.00e+00 |   1.2 | 9.5e-05 
  300 | 5.00e-01 6.70e-01 |  6.6230e-05  1.1901e+06 1.00e+00 |   1.7 | 3.8e-04 
  400 | 5.00e-01 2.47e-01 |  5.7667e-05  1.4497e+06 1.00e+00 |   2.2 | 1.9e-04 
  500 | 5.00e-01 3.00e-01 |  5.4774e-05  5.3032e+06 1.00e+00 |   2.7 | 1.2e-05 
  600 | 5.00e-01 4.52e-01 |  5.4647e-05  2.4178e+07 1.00e+00 |   3.2 | 1.2e-05 
  700 | 5.00e-01 5.33e-01 |  5.4485e-05  4.3052e+07 1.00e+00 |   3.7 | 1.2e-05 
  800 | 5.00e-01 4.68e-01 |  5.3685e-05  4.7771e+07 1.00e+00 |   4.2 | 1.2e-05 
  900 | 5.00e-01 5.40e-01 |  5.3788e-05  6.6645e+07 1.00e+00 |   4.7 | 1.2e-05 
 1000 | 5.00e-01 4.43e-01 |  5.2603e-05  6.9067e+07 1.00e+00 |   5.2 | 4.8e-05 
 1100 | 5.00e-01 4.16e-01 |  5.2417e-05  7.5296e+07 1.00e+00 |   5.7 | 1.2e-05 
 1200 | 5.00e-01 4.96e-01 |  5.2397e-05  1.0021e+08 1.00e+00 |   6.2 | 3.0e-06 
 1300 | 5.00e-01 6.28e-01 |  5.2497e-05  1.5054e+08 1.00e+00 |   6.7 | 3.0e-06 
 1400 | 5.00e-01 5.91e-01 |  5.2402e-05  1.6338e+08 1.00e+00 |   7.2 | 1.2e-05 
 1500 | 5.00e-01 5.00e-01 |  5.1996e-05  1.6658e+08 1.00e+00 |   7.7 | 4.8e-05 
 1600 | 5.00e-01 3.34e-01 |  5.1106e-05  1.6816e+08 1.00e+00 |   8.2 | 4.8e-05 
 1700 | 5.00e-01 3.10e-01 |  5.0629e-05  1.7439e+08 1.00e+00 |   8.7 | 1.2e-05 
 1800 | 5.00e-01 4.17e-01 |  5.0553e-05  1.9930e+08 1.00e+00 |   9.2 | 3.0e-06 
 1900 | 5.00e-01 4.41e-01 |  5.0620e-05  2.8219e+08 1.00e+00 |   9.7 | 1.0e-06 
 2000 | 5.00e-01 4.79e-01 |  5.0703e-05  3.8219e+08 1.00e+00 |  10.1 | 1.0e-06 
 2100 | 5.00e-01 5.26e-01 |  5.0813e-05  4.8219e+08 1.00e+00 |  10.6 | 1.0e-06 
 2200 | 5.00e-01 4.96e-01 |  5.1035e-05  5.2044e+08 1.00e+00 |  11.1 | 4.0e-06 
 2300 | 5.00e-01 4.57e-01 |  5.1219e-05  5.3919e+08 1.00e+00 |  11.6 | 4.0e-06 
 2400 | 5.00e-01 4.94e-01 |  5.1256e-05  6.1344e+08 1.00e+00 |  12.1 | 1.0e-06 
 2500 | 5.00e-01 5.13e-01 |  5.1292e-05  6.8894e+08 1.00e+00 |  12.6 | 2.0e-06 
 2600 | 5.00e-01 4.83e-01 |  5.1291e-05  7.0807e+08 1.00e+00 |  13.1 | 8.0e-06 
 2700 | 5.00e-01 4.82e-01 |  5.1250e-05  7.4519e+08 1.00e+00 |  13.6 | 2.0e-06 
 2800 | 5.00e-01 5.71e-01 |  5.1241e-05  8.4469e+08 1.00e+00 |  14.1 | 1.0e-06 
 2900 | 5.00e-01 5.51e-01 |  5.1225e-05  8.8294e+08 1.00e+00 |  14.6 | 4.0e-06 
 3000 | 5.00e-01 4.87e-01 |  5.1076e-05  8.9250e+08 1.00e+00 |  15.1 | 1.6e-05 
 3100 | 5.00e-01 4.82e-01 |  5.0868e-05  9.1107e+08 1.00e+00 |  15.5 | 4.0e-06 
 3200 | 5.00e-01 5.04e-01 |  5.0721e-05  9.4857e+08 1.00e+00 |  16.0 | 4.0e-06 
 3300 | 5.00e-01 4.87e-01 |  5.0509e-05  9.6732e+08 1.00e+00 |  16.5 | 4.0e-06 
 3400 | 5.00e-01 4.94e-01 |  5.0468e-05  1.0416e+09 1.00e+00 |  17.0 | 1.0e-06 
 3500 | 5.00e-01 5.06e-01 |  5.0444e-05  1.1416e+09 1.00e+00 |  17.5 | 1.0e-06 
 3600 | 5.00e-01 5.06e-01 |  5.0361e-05  1.1798e+09 1.00e+00 |  18.0 | 4.0e-06 
 3700 | 5.00e-01 4.83e-01 |  5.0012e-05  1.1894e+09 1.00e+00 |  18.5 | 1.6e-05 
 3800 | 5.00e-01 4.69e-01 |  4.9780e-05  1.2079e+09 1.00e+00 |  19.0 | 4.0e-06 
 3900 | 5.00e-01 4.80e-01 |  4.9735e-05  1.2822e+09 1.00e+00 |  19.5 | 1.0e-06 
 4000 | 5.00e-01 4.97e-01 |  4.9707e-05  1.3822e+09 1.00e+00 |  20.0 | 1.0e-06 
 4100 | 5.00e-01 5.05e-01 |  4.9666e-05  1.4577e+09 1.00e+00 |  20.5 | 2.0e-06 
 4200 | 5.00e-01 4.92e-01 |  4.9485e-05  1.4768e+09 1.00e+00 |  21.0 | 8.0e-06 
 4300 | 5.00e-01 4.90e-01 |  4.9361e-05  1.5139e+09 1.00e+00 |  21.5 | 2.0e-06 
 4400 | 5.00e-01 5.06e-01 |  4.9323e-05  1.6134e+09 1.00e+00 |  22.0 | 1.0e-06 
 4500 | 5.00e-01 5.03e-01 |  4.9209e-05  1.6517e+09 1.00e+00 |  22.5 | 4.0e-06 
 4600 | 5.00e-01 4.88e-01 |  4.8972e-05  1.6704e+09 1.00e+00 |  23.0 | 4.0e-06 
 4700 | 5.00e-01 5.01e-01 |  4.8913e-05  1.7447e+09 1.00e+00 |  23.5 | 1.0e-06 
 4800 | 5.00e-01 5.10e-01 |  4.8864e-05  1.8202e+09 1.00e+00 |  23.9 | 2.0e-06 
 4900 | 5.00e-01 4.88e-01 |  4.8668e-05  1.8393e+09 1.00e+00 |  24.4 | 8.0e-06 
 5000 | 5.00e-01 4.84e-01 |  4.8530e-05  1.8764e+09 1.00e+00 |  24.9 | 2.0e-06 
 5100 | 5.00e-01 4.99e-01 |  4.8487e-05  1.9759e+09 1.00e+00 |  25.4 | 1.0e-06 
 5200 | 5.00e-01 5.12e-01 |  4.8440e-05  2.0759e+09 1.00e+00 |  25.9 | 1.0e-06 
 5300 | 5.00e-01 5.17e-01 |  4.8395e-05  2.1759e+09 1.00e+00 |  26.5 | 1.0e-06 
 5400 | 5.00e-01 5.18e-01 |  4.8351e-05  2.2759e+09 1.00e+00 |  27.0 | 1.0e-06 
 5500 | 5.00e-01 5.15e-01 |  4.8266e-05  2.3264e+09 1.00e+00 |  27.4 | 2.0e-06 
 5600 | 5.00e-01 5.15e-01 |  4.8184e-05  2.3764e+09 1.00e+00 |  27.9 | 2.0e-06 
 5700 | 5.00e-01 5.06e-01 |  4.8022e-05  2.4017e+09 1.00e+00 |  28.4 | 4.0e-06 
 5800 | 5.00e-01 4.97e-01 |  4.7853e-05  2.4267e+09 1.00e+00 |  28.9 | 4.0e-06 
 5900 | 5.00e-01 4.89e-01 |  4.7685e-05  2.4517e+09 1.00e+00 |  29.4 | 4.0e-06 
 6000 | 5.00e-01 4.80e-01 |  4.7518e-05  2.4767e+09 1.00e+00 |  29.9 | 4.0e-06 
 6100 | 5.00e-01 4.78e-01 |  4.7431e-05  2.5264e+09 1.00e+00 |  30.4 | 2.0e-06 
 6200 | 5.00e-01 4.77e-01 |  4.7349e-05  2.5764e+09 1.00e+00 |  30.9 | 2.0e-06 
 6300 | 5.00e-01 4.75e-01 |  4.7267e-05  2.6264e+09 1.00e+00 |  31.3 | 2.0e-06 
 6400 | 5.00e-01 4.73e-01 |  4.7184e-05  2.6764e+09 1.00e+00 |  31.8 | 2.0e-06 
 6500 | 5.00e-01 4.77e-01 |  4.7142e-05  2.7759e+09 1.00e+00 |  32.3 | 1.0e-06 
 6600 | 5.00e-01 4.81e-01 |  4.7100e-05  2.8759e+09 1.00e+00 |  32.8 | 1.0e-06 
 6700 | 5.00e-01 4.84e-01 |  4.7057e-05  2.9759e+09 1.00e+00 |  33.3 | 1.0e-06 
 6800 | 5.00e-01 4.88e-01 |  4.7015e-05  3.0759e+09 1.00e+00 |  33.8 | 1.0e-06 
 6900 | 5.00e-01 4.91e-01 |  4.6971e-05  3.1759e+09 1.00e+00 |  34.3 | 1.0e-06 
 7000 | 5.00e-01 4.94e-01 |  4.6927e-05  3.2759e+09 1.00e+00 |  34.7 | 1.0e-06 
 7100 | 5.00e-01 4.97e-01 |  4.6882e-05  3.3759e+09 1.00e+00 |  35.2 | 1.0e-06 
 7200 | 5.00e-01 5.00e-01 |  4.6837e-05  3.4759e+09 1.00e+00 |  35.7 | 1.0e-06 
 7300 | 5.00e-01 5.03e-01 |  4.6791e-05  3.5759e+09 1.00e+00 |  36.2 | 1.0e-06 
 7400 | 5.00e-01 5.06e-01 |  4.6745e-05  3.6759e+09 1.00e+00 |  36.7 | 1.0e-06 
 7500 | 5.00e-01 5.02e-01 |  4.6654e-05  3.7264e+09 1.00e+00 |  37.2 | 2.0e-06 
 7600 | 5.00e-01 4.75e-01 |  4.6560e-05  3.7764e+09 1.00e+00 |  37.6 | 2.0e-06 
 7700 | 5.00e-01 4.62e-01 |  4.6366e-05  3.8017e+09 1.00e+00 |  38.1 | 4.0e-06 
 7800 | 5.00e-01 4.51e-01 |  4.6176e-05  3.8267e+09 1.00e+00 |  38.6 | 4.0e-06 
 7900 | 5.00e-01 4.46e-01 |  4.6082e-05  3.8764e+09 1.00e+00 |  39.1 | 2.0e-06 
 8000 | 5.00e-01 4.42e-01 |  4.5999e-05  3.9264e+09 1.00e+00 |  39.6 | 2.0e-06 
 8100 | 5.00e-01 4.44e-01 |  4.5957e-05  4.0259e+09 1.00e+00 |  40.1 | 1.0e-06 
 8200 | 5.00e-01 4.45e-01 |  4.5917e-05  4.1259e+09 1.00e+00 |  40.7 | 1.0e-06 
 8300 | 5.00e-01 4.46e-01 |  4.5879e-05  4.2259e+09 1.00e+00 |  41.2 | 1.0e-06 
 8400 | 5.00e-01 4.47e-01 |  4.5841e-05  4.3259e+09 1.00e+00 |  41.8 | 1.0e-06 
 8500 | 5.00e-01 4.48e-01 |  4.5803e-05  4.4259e+09 1.00e+00 |  42.3 | 1.0e-06 
 8600 | 5.00e-01 4.49e-01 |  4.5766e-05  4.5259e+09 1.00e+00 |  42.8 | 1.0e-06 
 8700 | 5.00e-01 4.50e-01 |  4.5729e-05  4.6259e+09 1.00e+00 |  43.4 | 1.0e-06 
 8800 | 5.00e-01 4.51e-01 |  4.5692e-05  4.7259e+09 1.00e+00 |  43.9 | 1.0e-06 
 8900 | 5.00e-01 4.51e-01 |  4.5656e-05  4.8259e+09 1.00e+00 |  44.4 | 1.0e-06 
