Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/h2ctrl_rd1/
              vector length: 797
      number of constraints: 202
           number of blocks: 8
  number of non-zeros in At: 2537
  number of non-zeros in  b: 11
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size   8
        2 matrices of size    1 (small)
        1 matrices of size    8 (small)
        1 matrices of size   10 (small)
        1 matrices of size   12 (small)
        1 matrices of size   17 (small)
        1 matrices of size   30 (small)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 0.0001
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 5.00e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.1 | 1.0e+02 
   50 | 2.05e-01 5.62e-03 |  9.2886e-01  2.1614e+00 3.01e-01 |   0.6 | 3.1e+00 
  100 | 7.78e-02 7.60e-02 |  3.3290e+00  8.3459e+00 3.96e-01 |   1.0 | 3.9e-01 
  150 | 5.54e-02 1.06e-01 |  4.4710e+00  1.2514e+01 4.47e-01 |   1.4 | 2.0e-01 
  200 | 4.35e-02 3.91e-02 |  5.6590e+00  1.3152e+01 3.78e-01 |   1.8 | 9.8e-02 
  300 | 3.15e-02 2.72e-02 |  8.4731e+00  1.8348e+01 3.55e-01 |   2.7 | 3.9e-01 
  400 | 2.77e-02 2.71e-02 |  8.9741e+00  1.9869e+01 3.65e-01 |   3.5 | 9.8e-02 
  500 | 2.53e-02 2.33e-02 |  1.0452e+01  2.2430e+01 3.54e-01 |   4.3 | 3.9e-01 
  600 | 2.28e-02 1.44e-02 |  1.0917e+01  2.3096e+01 3.48e-01 |   5.1 | 9.8e-02 
  700 | 2.19e-02 1.86e-02 |  1.1884e+01  2.5188e+01 3.49e-01 |   5.9 | 3.9e-01 
  800 | 2.04e-02 2.97e-02 |  1.2243e+01  2.7288e+01 3.71e-01 |   6.7 | 4.9e-02 
  900 | 1.91e-02 7.77e-03 |  1.3201e+01  2.7078e+01 3.36e-01 |   7.5 | 3.9e-01 
 1000 | 1.86e-02 2.70e-02 |  1.3440e+01  2.9644e+01 3.68e-01 |   8.3 | 9.8e-02 
 1100 | 1.77e-02 6.49e-03 |  1.4239e+01  2.9098e+01 3.35e-01 |   9.1 | 3.9e-01 
 1200 | 1.73e-02 1.41e-02 |  1.4424e+01  3.0428e+01 3.49e-01 |   9.9 | 9.8e-02 
 1300 | 1.69e-02 3.26e-02 |  1.4799e+01  3.3239e+01 3.76e-01 |  10.7 | 9.8e-02 
 1400 | 1.61e-02 7.67e-03 |  1.5733e+01  3.2243e+01 3.37e-01 |  11.5 | 3.9e-01 
 1500 | 1.57e-02 1.15e-02 |  1.5905e+01  3.3225e+01 3.45e-01 |  12.3 | 9.8e-02 
 1600 | 1.54e-02 2.61e-02 |  1.6201e+01  3.5593e+01 3.67e-01 |  13.2 | 9.8e-02 
 1700 | 1.49e-02 7.24e-03 |  1.6996e+01  3.4784e+01 3.37e-01 |  13.9 | 3.9e-01 
 1800 | 1.46e-02 9.68e-03 |  1.7151e+01  3.5591e+01 3.43e-01 |  14.7 | 9.8e-02 
 1900 | 1.44e-02 2.18e-02 |  1.7397e+01  3.7662e+01 3.61e-01 |  15.5 | 9.8e-02 
 2000 | 1.40e-02 6.83e-03 |  1.8093e+01  3.6983e+01 3.37e-01 |  16.3 | 3.9e-01 
 2100 | 1.37e-02 8.46e-03 |  1.8235e+01  3.7669e+01 3.42e-01 |  17.1 | 9.8e-02 
 2200 | 1.36e-02 2.59e-02 |  1.8384e+01  4.0379e+01 3.68e-01 |  17.9 | 4.9e-02 
 2300 | 1.32e-02 1.77e-02 |  1.8959e+01  4.0369e+01 3.55e-01 |  18.7 | 2.0e-01 
 2400 | 1.28e-02 4.88e-03 |  1.9487e+01  3.9708e+01 3.36e-01 |  19.5 | 2.0e-01 
 2500 | 1.27e-02 1.52e-02 |  1.9589e+01  4.1458e+01 3.52e-01 |  20.3 | 4.9e-02 
 2600 | 1.26e-02 2.15e-02 |  1.9852e+01  4.2914e+01 3.62e-01 |  21.1 | 9.8e-02 
 2700 | 1.24e-02 7.55e-03 |  2.0559e+01  4.2105e+01 3.38e-01 |  21.9 | 3.9e-01 
 2800 | 1.21e-02 6.89e-03 |  2.0697e+01  4.2500e+01 3.40e-01 |  22.7 | 9.8e-02 
 2900 | 1.20e-02 1.90e-02 |  2.0809e+01  4.4623e+01 3.58e-01 |  23.5 | 4.9e-02 
 3000 | 1.18e-02 1.82e-02 |  2.1125e+01  4.5145e+01 3.57e-01 |  24.3 | 9.8e-02 
 3100 | 1.16e-02 9.96e-03 |  2.1591e+01  4.4771e+01 3.44e-01 |  25.0 | 2.0e-01 
 3200 | 1.15e-02 8.77e-03 |  2.1807e+01  4.5078e+01 3.43e-01 |  25.8 | 9.8e-02 
 3300 | 1.13e-02 8.49e-03 |  2.2012e+01  4.5454e+01 3.42e-01 |  26.6 | 9.8e-02 
 3400 | 1.13e-02 1.81e-02 |  2.2126e+01  4.7295e+01 3.57e-01 |  27.4 | 4.9e-02 
 3500 | 1.11e-02 1.34e-02 |  2.2541e+01  4.7294e+01 3.49e-01 |  28.2 | 2.0e-01 
 3600 | 1.09e-02 4.25e-03 |  2.2977e+01  4.6699e+01 3.36e-01 |  29.0 | 2.0e-01 
 3700 | 1.08e-02 1.04e-02 |  2.3054e+01  4.7947e+01 3.46e-01 |  29.8 | 4.9e-02 
 3800 | 1.08e-02 2.40e-02 |  2.3182e+01  5.0554e+01 3.66e-01 |  30.6 | 4.9e-02 
 3900 | 1.06e-02 1.66e-02 |  2.3704e+01  5.0265e+01 3.54e-01 |  31.4 | 2.0e-01 
 4000 | 1.12e-02 2.50e-03 |  2.4529e+01  4.9087e+01 3.29e-01 |  32.2 | 7.8e-01 
 4100 | 1.02e-02 1.98e-04 |  2.4496e+01  4.9000e+01 3.29e-01 |  33.0 | 2.0e-01 
 4200 | 1.02e-02 6.18e-03 |  2.4522e+01  5.0216e+01 3.39e-01 |  33.8 | 4.9e-02 
 4300 | 1.02e-02 2.31e-02 |  2.4585e+01  5.3457e+01 3.65e-01 |  34.6 | 2.4e-02 
 4400 | 1.00e-02 2.33e-02 |  2.4892e+01  5.4117e+01 3.65e-01 |  35.4 | 9.8e-02 
 4500 | 1.02e-02 9.93e-03 |  2.5705e+01  5.3011e+01 3.43e-01 |  36.2 | 3.9e-01 
 4600 | 9.56e-03 1.70e-03 |  2.6139e+01  5.1958e+01 3.26e-01 |  37.0 | 3.9e-01 
 4700 | 9.56e-03 1.28e-03 |  2.6120e+01  5.2528e+01 3.32e-01 |  37.8 | 9.8e-02 
 4800 | 9.55e-03 1.20e-02 |  2.6152e+01  5.4685e+01 3.49e-01 |  38.5 | 2.4e-02 
 4900 | 9.52e-03 3.30e-02 |  2.6235e+01  5.8979e+01 3.80e-01 |  39.4 | 2.4e-02 
 5000 | 9.39e-03 3.01e-02 |  2.6644e+01  5.9255e+01 3.75e-01 |  40.1 | 9.8e-02 
 5100 | 9.20e-03 1.61e-02 |  2.7412e+01  5.8024e+01 3.54e-01 |  40.9 | 2.0e-01 
 5200 | 9.00e-03 8.89e-03 |  2.7818e+01  5.7445e+01 3.43e-01 |  41.7 | 2.0e-01 
 5300 | 8.92e-03 2.66e-03 |  2.8198e+01  5.6875e+01 3.33e-01 |  42.5 | 3.9e-01 
 5400 | 8.83e-03 7.83e-04 |  2.8294e+01  5.6758e+01 3.31e-01 |  43.3 | 3.9e-01 
 5500 | 8.82e-03 1.42e-03 |  2.8329e+01  5.6984e+01 3.32e-01 |  44.1 | 2.0e-01 
 5600 | 8.80e-03 1.88e-03 |  2.8386e+01  5.7192e+01 3.33e-01 |  44.9 | 2.0e-01 
 5700 | 8.79e-03 3.85e-03 |  2.8435e+01  5.7716e+01 3.36e-01 |  45.7 | 9.8e-02 
 5800 | 8.76e-03 5.34e-03 |  2.8513e+01  5.8191e+01 3.38e-01 |  46.4 | 9.8e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 5900 | 8.75e-03 2.17e-02 |  2.8554e+01  6.1780e+01 3.64e-01 |  47.2 | 1.0e-02 
 6000 | 8.73e-03 4.90e-02 |  2.8616e+01  6.7751e+01 4.02e-01 |  48.0 | 1.0e-02 
 6100 | 8.67e-03 5.91e-02 |  2.8803e+01  7.0368e+01 4.15e-01 |  48.8 | 2.0e-02 
 6200 | 8.61e-03 6.79e-02 |  2.9023e+01  7.2811e+01 4.26e-01 |  49.6 | 2.0e-02 
 6300 | 8.48e-03 6.44e-02 |  2.9479e+01  7.3174e+01 4.22e-01 |  50.4 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 6400 | 8.40e-03 7.38e-02 |  2.9758e+01  7.5987e+01 4.33e-01 |  51.2 | 1.0e-02 
 6500 | 8.32e-03 8.04e-02 |  3.0025e+01  7.8134e+01 4.41e-01 |  52.0 | 2.0e-02 
 6600 | 8.24e-03 8.59e-02 |  3.0313e+01  8.0124e+01 4.47e-01 |  52.8 | 2.0e-02 
 6700 | 8.10e-03 7.91e-02 |  3.0881e+01  8.0021e+01 4.39e-01 |  53.6 | 4.0e-02 
 6800 | 7.96e-03 7.30e-02 |  3.1407e+01  7.9957e+01 4.32e-01 |  54.4 | 4.0e-02 
 6900 | 7.77e-03 5.76e-02 |  3.2305e+01  7.8436e+01 4.13e-01 |  55.2 | 8.0e-02 
 7000 | 7.59e-03 4.59e-02 |  3.3016e+01  7.7299e+01 3.98e-01 |  56.0 | 8.0e-02 
 7100 | 7.50e-03 2.94e-02 |  3.4051e+01  7.5372e+01 3.74e-01 |  56.7 | 1.6e-01 
 7200 | 7.26e-03 1.87e-02 |  3.4701e+01  7.4134e+01 3.59e-01 |  57.5 | 1.6e-01 
 7300 | 7.30e-03 8.32e-03 |  3.5447e+01  7.2846e+01 3.42e-01 |  58.3 | 3.2e-01 
 7400 | 7.03e-03 3.05e-03 |  3.5734e+01  7.2208e+01 3.35e-01 |  59.1 | 3.2e-01 
 7500 | 6.98e-03 1.36e-03 |  3.5847e+01  7.2042e+01 3.32e-01 |  59.8 | 3.2e-01 
 7600 | 6.96e-03 8.11e-04 |  3.5904e+01  7.2030e+01 3.32e-01 |  60.6 | 3.2e-01 
 7700 | 6.96e-03 1.19e-03 |  3.5931e+01  7.2201e+01 3.32e-01 |  61.4 | 1.6e-01 
 7800 | 6.95e-03 1.54e-03 |  3.5969e+01  7.2368e+01 3.33e-01 |  62.2 | 1.6e-01 
 7900 | 6.94e-03 2.82e-03 |  3.5999e+01  7.2782e+01 3.35e-01 |  63.0 | 8.0e-02 
 8000 | 6.93e-03 3.92e-03 |  3.6046e+01  7.3170e+01 3.37e-01 |  63.8 | 8.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 8100 | 6.93e-03 1.51e-02 |  3.6067e+01  7.6237e+01 3.55e-01 |  64.6 | 1.0e-02 
 8200 | 6.92e-03 2.87e-02 |  3.6105e+01  7.9991e+01 3.75e-01 |  65.5 | 1.0e-02 
 8300 | 6.90e-03 3.41e-02 |  3.6213e+01  8.1682e+01 3.82e-01 |  66.3 | 2.0e-02 
 8400 | 6.88e-03 3.90e-02 |  3.6340e+01  8.3293e+01 3.89e-01 |  67.1 | 2.0e-02 
 8500 | 6.83e-03 3.81e-02 |  3.6606e+01  8.3650e+01 3.88e-01 |  67.9 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 8600 | 6.80e-03 4.69e-02 |  3.6726e+01  8.6367e+01 4.00e-01 |  68.7 | 1.0e-02 
 8700 | 6.77e-03 5.08e-02 |  3.6895e+01  8.7836e+01 4.05e-01 |  69.5 | 2.0e-02 
