Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/hinf2_rd/
              vector length: 378052
      number of constraints: 14005
           number of blocks: 3
  number of non-zeros in At: 2254619
  number of non-zeros in  b: 90
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size   1
        1 matrices of size    8 (small)
        1 matrices of size  869 (medium)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 1e-06
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 5.00e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   8.1 | 1.0e+02 
   50 | 4.98e-02 4.63e-03 |  1.9795e-02  5.5119e-02 3.29e-02 |  11.3 | 3.1e+00 
  100 | 1.21e-02 2.31e-02 |  5.9525e-02  1.2148e-01 5.25e-02 |  14.4 | 3.9e-01 
  150 | 6.04e-03 7.94e-03 |  6.4190e-02  1.2856e-01 5.40e-02 |  17.6 | 7.8e-01 
  200 | 4.37e-03 5.30e-03 |  5.9976e-02  1.1947e-01 5.04e-02 |  20.5 | 7.8e-01 
  300 | 3.21e-03 3.60e-03 |  5.4825e-02  1.0965e-01 4.71e-02 |  26.9 | 7.8e-01 
  400 | 2.97e-03 2.88e-03 |  5.2051e-02  1.0411e-01 4.50e-02 |  33.0 | 7.8e-01 
  500 | 2.82e-03 2.93e-03 |  5.2845e-02  1.0569e-01 4.56e-02 |  39.3 | 7.8e-01 
  600 | 2.81e-03 2.76e-03 |  5.2482e-02  1.0515e-01 4.55e-02 |  45.3 | 2.0e-01 
  700 | 2.61e-03 2.82e-03 |  5.4412e-02  1.0870e-01 4.67e-02 |  51.2 | 7.8e-01 
  800 | 2.53e-03 2.52e-03 |  5.4599e-02  1.0929e-01 4.70e-02 |  56.6 | 2.0e-01 
  900 | 2.41e-03 2.41e-03 |  5.5799e-02  1.1172e-01 4.79e-02 |  62.2 | 7.8e-01 
 1000 | 2.39e-03 2.17e-03 |  5.6000e-02  1.1228e-01 4.82e-02 |  68.5 | 2.0e-01 
 1100 | 2.35e-03 2.57e-03 |  5.7012e-02  1.1451e-01 4.91e-02 |  75.0 | 2.0e-01 
 1200 | 2.29e-03 2.09e-03 |  5.8360e-02  1.1657e-01 4.95e-02 |  80.8 | 7.8e-01 
 1300 | 2.26e-03 2.10e-03 |  5.8852e-02  1.1798e-01 5.02e-02 |  86.4 | 2.0e-01 
 1400 | 2.21e-03 2.43e-03 |  5.9859e-02  1.2022e-01 5.11e-02 |  92.2 | 2.0e-01 
 1500 | 2.17e-03 1.96e-03 |  6.1331e-02  1.2258e-01 5.17e-02 |  98.3 | 7.8e-01 
 1600 | 2.12e-03 1.94e-03 |  6.1907e-02  1.2420e-01 5.25e-02 | 104.8 | 2.0e-01 
 1700 | 2.08e-03 2.21e-03 |  6.2955e-02  1.2635e-01 5.33e-02 | 110.6 | 2.0e-01 
 1800 | 2.05e-03 1.92e-03 |  6.4279e-02  1.2848e-01 5.38e-02 | 116.9 | 3.9e-01 
 1900 | 2.00e-03 2.26e-03 |  6.4996e-02  1.3047e-01 5.48e-02 | 123.1 | 9.8e-02 
 2000 | 1.97e-03 2.00e-03 |  6.6554e-02  1.3298e-01 5.54e-02 | 128.9 | 3.9e-01 
 2100 | 1.96e-03 1.69e-03 |  6.7695e-02  1.3506e-01 5.60e-02 | 134.5 | 3.9e-01 
 2200 | 1.89e-03 1.98e-03 |  6.8329e-02  1.3700e-01 5.70e-02 | 140.7 | 9.8e-02 
 2300 | 1.82e-03 2.81e-03 |  7.0306e-02  1.4086e-01 5.83e-02 | 146.9 | 9.8e-02 
 2400 | 1.83e-03 2.07e-03 |  7.2862e-02  1.4469e-01 5.90e-02 | 152.6 | 3.9e-01 
 2500 | 1.81e-03 1.67e-03 |  7.4203e-02  1.4744e-01 5.99e-02 | 158.2 | 3.9e-01 
 2600 | 1.69e-03 1.90e-03 |  7.4775e-02  1.4941e-01 6.10e-02 | 163.9 | 9.8e-02 
 2700 | 1.69e-03 1.66e-03 |  7.6047e-02  1.5137e-01 6.14e-02 | 169.9 | 3.9e-01 
 2800 | 1.69e-03 1.47e-03 |  7.6820e-02  1.5282e-01 6.18e-02 | 175.1 | 3.9e-01 
 2900 | 1.62e-03 1.71e-03 |  7.7447e-02  1.5459e-01 6.26e-02 | 181.4 | 9.8e-02 
 3000 | 1.57e-03 2.29e-03 |  7.9339e-02  1.5803e-01 6.36e-02 | 187.4 | 9.8e-02 
 3100 | 1.59e-03 1.70e-03 |  8.1429e-02  1.6101e-01 6.41e-02 | 192.9 | 3.9e-01 
 3200 | 1.58e-03 1.44e-03 |  8.2416e-02  1.6301e-01 6.47e-02 | 198.7 | 3.9e-01 
 3300 | 1.48e-03 1.70e-03 |  8.2816e-02  1.6454e-01 6.55e-02 | 204.3 | 9.8e-02 
 3400 | 1.50e-03 1.47e-03 |  8.3807e-02  1.6606e-01 6.58e-02 | 209.8 | 3.9e-01 
 3500 | 1.53e-03 1.31e-03 |  8.4364e-02  1.6716e-01 6.62e-02 | 215.6 | 3.9e-01 
 3600 | 1.45e-03 1.56e-03 |  8.4954e-02  1.6878e-01 6.69e-02 | 222.2 | 9.8e-02 
 3700 | 1.42e-03 1.53e-03 |  8.6409e-02  1.7089e-01 6.72e-02 | 228.1 | 2.0e-01 
 3800 | 1.39e-03 1.34e-03 |  8.7306e-02  1.7255e-01 6.77e-02 | 234.4 | 2.0e-01 
 3900 | 1.37e-03 1.40e-03 |  8.8052e-02  1.7411e-01 6.82e-02 | 239.8 | 2.0e-01 
 4000 | 1.38e-03 1.31e-03 |  8.8724e-02  1.7550e-01 6.86e-02 | 245.8 | 2.0e-01 
 4100 | 1.34e-03 1.49e-03 |  8.9600e-02  1.7727e-01 6.92e-02 | 252.4 | 9.8e-02 
 4200 | 1.36e-03 1.33e-03 |  9.1047e-02  1.7900e-01 6.92e-02 | 258.6 | 3.9e-01 
 4300 | 1.30e-03 1.39e-03 |  9.1462e-02  1.8063e-01 7.01e-02 | 264.8 | 9.8e-02 
 4400 | 1.34e-03 1.29e-03 |  9.2536e-02  1.8205e-01 7.02e-02 | 270.9 | 3.9e-01 
 4500 | 1.29e-03 1.35e-03 |  9.3000e-02  1.8357e-01 7.09e-02 | 277.4 | 9.8e-02 
 4600 | 1.30e-03 1.27e-03 |  9.4202e-02  1.8493e-01 7.09e-02 | 283.2 | 3.9e-01 
 4700 | 1.25e-03 1.32e-03 |  9.4616e-02  1.8643e-01 7.17e-02 | 289.8 | 9.8e-02 
 4800 | 1.28e-03 1.24e-03 |  9.5686e-02  1.8772e-01 7.17e-02 | 295.8 | 3.9e-01 
 4900 | 1.23e-03 1.29e-03 |  9.6091e-02  1.8915e-01 7.24e-02 | 302.2 | 9.8e-02 
 5000 | 1.24e-03 1.22e-03 |  9.7191e-02  1.9038e-01 7.24e-02 | 307.9 | 3.9e-01 
 5100 | 1.21e-03 1.20e-03 |  9.7567e-02  1.9156e-01 7.29e-02 | 313.9 | 2.0e-01 
 5200 | 1.20e-03 1.20e-03 |  9.8194e-02  1.9265e-01 7.32e-02 | 319.5 | 2.0e-01 
 5300 | 1.18e-03 1.30e-03 |  9.8926e-02  1.9421e-01 7.37e-02 | 325.9 | 9.8e-02 
 5400 | 1.17e-03 1.37e-03 |  9.9935e-02  1.9601e-01 7.41e-02 | 331.8 | 9.8e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 5500 | 1.17e-03 1.27e-03 |  1.0097e-01  1.9756e-01 7.44e-02 | 337.8 | 1.0e-02 
 5600 | 1.10e-03 9.14e-03 |  1.0412e-01  2.0731e-01 7.87e-02 | 343.5 | 1.0e-02 
 5700 | 1.06e-03 7.03e-03 |  1.0841e-01  2.1417e-01 8.00e-02 | 350.0 | 2.0e-02 
 5800 | 1.03e-03 7.35e-03 |  1.1184e-01  2.2056e-01 8.16e-02 | 356.4 | 2.0e-02 
 5900 | 1.02e-03 5.88e-03 |  1.1525e-01  2.2598e-01 8.26e-02 | 362.8 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 6000 | 1.00e-03 5.16e-03 |  1.1803e-01  2.3057e-01 8.34e-02 | 369.3 | 1.0e-02 
 6100 | 9.52e-04 5.92e-03 |  1.2077e-01  2.3604e-01 8.50e-02 | 375.6 | 2.0e-02 
 6200 | 9.22e-04 6.50e-03 |  1.2352e-01  2.4119e-01 8.62e-02 | 381.7 | 2.0e-02 
 6300 | 9.16e-04 5.70e-03 |  1.2631e-01  2.4542e-01 8.68e-02 | 388.1 | 4.0e-02 
 6400 | 8.96e-04 5.21e-03 |  1.2871e-01  2.4939e-01 8.76e-02 | 394.6 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 6500 | 9.37e-04 4.37e-03 |  1.3096e-01  2.5277e-01 8.80e-02 | 400.9 | 1.0e-02 
 6600 | 8.22e-04 7.22e-03 |  1.3455e-01  2.6189e-01 9.12e-02 | 407.5 | 1.0e-02 
 6700 | 7.97e-04 6.03e-03 |  1.3759e-01  2.6604e-01 9.15e-02 | 413.6 | 2.0e-02 
 6800 | 7.79e-04 6.20e-03 |  1.4000e-01  2.7030e-01 9.24e-02 | 420.1 | 2.0e-02 
 6900 | 7.87e-04 5.59e-03 |  1.4234e-01  2.7361e-01 9.27e-02 | 426.3 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 7000 | 7.76e-04 5.20e-03 |  1.4441e-01  2.7698e-01 9.33e-02 | 432.0 | 1.0e-02 
 7100 | 7.43e-04 5.46e-03 |  1.4661e-01  2.8138e-01 9.44e-02 | 437.1 | 2.0e-02 
 7200 | 7.26e-04 5.69e-03 |  1.4866e-01  2.8513e-01 9.52e-02 | 443.8 | 2.0e-02 
 7300 | 7.29e-04 5.30e-03 |  1.5067e-01  2.8797e-01 9.54e-02 | 449.6 | 4.0e-02 
 7400 | 7.20e-04 5.02e-03 |  1.5246e-01  2.9088e-01 9.59e-02 | 455.9 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 7500 | 7.61e-04 4.54e-03 |  1.5410e-01  2.9328e-01 9.62e-02 | 462.0 | 1.0e-02 
 7600 | 6.72e-04 6.17e-03 |  1.5708e-01  3.0116e-01 9.88e-02 | 467.9 | 1.0e-02 
 7700 | 6.57e-04 5.33e-03 |  1.5943e-01  3.0391e-01 9.87e-02 | 474.3 | 2.0e-02 
 7800 | 6.46e-04 5.41e-03 |  1.6126e-01  3.0707e-01 9.93e-02 | 480.0 | 2.0e-02 
 7900 | 6.54e-04 5.08e-03 |  1.6300e-01  3.0938e-01 9.94e-02 | 486.6 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 8000 | 6.50e-04 4.86e-03 |  1.6458e-01  3.1187e-01 9.98e-02 | 492.3 | 1.0e-02 
 8100 | 6.26e-04 5.01e-03 |  1.6632e-01  3.1544e-01 1.01e-01 | 498.0 | 2.0e-02 
 8200 | 6.14e-04 5.14e-03 |  1.6794e-01  3.1833e-01 1.01e-01 | 504.6 | 2.0e-02 
 8300 | 6.18e-04 4.91e-03 |  1.6947e-01  3.2038e-01 1.01e-01 | 511.1 | 4.0e-02 
 8400 | 6.13e-04 4.76e-03 |  1.7086e-01  3.2260e-01 1.02e-01 | 517.2 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 8500 | 6.45e-04 4.46e-03 |  1.7209e-01  3.2435e-01 1.02e-01 | 522.9 | 1.0e-02 
 8600 | 5.80e-04 5.57e-03 |  1.7452e-01  3.3130e-01 1.04e-01 | 529.6 | 1.0e-02 
 8700 | 5.68e-04 4.94e-03 |  1.7650e-01  3.3304e-01 1.04e-01 | 536.0 | 2.0e-02 
