Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/hinf_rd1_hv/
              vector length: 1250
      number of constraints: 267
           number of blocks: 5
  number of non-zeros in At: 3266
  number of non-zeros in  b: 2
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size  46
        1 matrices of size    1 (small)
        1 matrices of size   11 (small)
        1 matrices of size   23 (small)
        1 matrices of size   41 (medium)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 1e-06
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 5.00e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.1 | 1.0e+02 
   50 | 6.20e-02 4.28e-03 |  2.6033e-02  1.1421e-01 7.73e-02 |   1.1 | 3.1e+00 
  100 | 9.15e-03 2.21e-02 |  2.3376e-01  3.2962e-01 6.13e-02 |   2.0 | 3.9e-01 
  150 | 3.71e-03 1.01e-02 |  2.5284e-01  2.5527e-01 1.61e-03 |   2.8 | 2.0e-01 
  200 | 2.67e-03 3.96e-03 |  2.5631e-01  2.7692e-01 1.34e-02 |   3.6 | 3.9e-01 
  300 | 1.21e-03 1.69e-03 |  2.6236e-01  2.6749e-01 3.35e-03 |   5.2 | 1.6e+00 
  400 | 1.02e-03 9.56e-04 |  2.5942e-01  2.6287e-01 2.26e-03 |   6.8 | 1.6e+00 
  500 | 9.73e-04 6.08e-04 |  2.5917e-01  2.6278e-01 2.37e-03 |   8.5 | 6.2e+00 
  600 | 5.14e-04 4.02e-04 |  2.5778e-01  2.6134e-01 2.34e-03 |  10.1 | 6.2e+00 
  700 | 3.33e-04 2.82e-04 |  2.5749e-01  2.6046e-01 1.96e-03 |  11.7 | 6.2e+00 
  800 | 1.72e-04 2.10e-04 |  2.5743e-01  2.5976e-01 1.54e-03 |  13.4 | 3.1e+00 
  900 | 1.90e-04 1.50e-04 |  2.5758e-01  2.5917e-01 1.05e-03 |  15.1 | 3.1e+00 
 1000 | 1.13e-04 1.36e-04 |  2.5782e-01  2.5915e-01 8.74e-04 |  16.7 | 3.1e+00 
 1100 | 1.15e-04 1.18e-04 |  2.5794e-01  2.5907e-01 7.46e-04 |  18.3 | 6.2e+00 
 1200 | 9.70e-05 1.04e-04 |  2.5781e-01  2.5888e-01 7.05e-04 |  20.2 | 6.2e+00 
 1300 | 7.49e-05 9.90e-05 |  2.5786e-01  2.5886e-01 6.62e-04 |  22.0 | 6.2e+00 
 1400 | 1.05e-04 8.89e-05 |  2.5783e-01  2.5880e-01 6.35e-04 |  23.9 | 1.2e+01 
 1500 | 9.23e-05 8.22e-05 |  2.5777e-01  2.5875e-01 6.46e-04 |  25.8 | 1.2e+01 
 1600 | 9.44e-05 7.60e-05 |  2.5778e-01  2.5871e-01 6.14e-04 |  27.6 | 1.2e+01 
 1700 | 9.36e-05 6.99e-05 |  2.5778e-01  2.5867e-01 5.86e-04 |  29.3 | 1.2e+01 
 1800 | 5.22e-05 6.67e-05 |  2.5786e-01  2.5862e-01 5.02e-04 |  30.9 | 3.1e+00 
 1900 | 8.54e-05 6.11e-05 |  2.5787e-01  2.5861e-01 4.89e-04 |  32.4 | 1.2e+01 
 2000 | 8.80e-05 5.55e-05 |  2.5784e-01  2.5856e-01 4.78e-04 |  34.0 | 1.2e+01 
 2100 | 4.08e-05 5.26e-05 |  2.5789e-01  2.5851e-01 4.08e-04 |  35.7 | 3.1e+00 
 2200 | 7.96e-05 4.78e-05 |  2.5791e-01  2.5850e-01 3.86e-04 |  37.4 | 1.2e+01 
 2300 | 3.27e-05 4.51e-05 |  2.5793e-01  2.5845e-01 3.44e-04 |  39.0 | 3.1e+00 
 2400 | 7.17e-05 4.12e-05 |  2.5794e-01  2.5844e-01 3.25e-04 |  40.5 | 1.2e+01 
 2500 | 2.75e-05 3.89e-05 |  2.5796e-01  2.5840e-01 2.89e-04 |  42.2 | 3.1e+00 
 2600 | 6.13e-05 3.58e-05 |  2.5797e-01  2.5838e-01 2.71e-04 |  43.8 | 1.2e+01 
 2700 | 2.30e-05 3.40e-05 |  2.5798e-01  2.5835e-01 2.43e-04 |  45.4 | 3.1e+00 
 2800 | 5.14e-05 3.16e-05 |  2.5799e-01  2.5834e-01 2.28e-04 |  47.2 | 1.2e+01 
 2900 | 2.49e-05 2.99e-05 |  2.5799e-01  2.5831e-01 2.15e-04 |  49.0 | 6.2e+00 
 3000 | 2.58e-05 2.79e-05 |  2.5800e-01  2.5829e-01 1.88e-04 |  50.7 | 6.2e+00 
 3100 | 1.82e-05 2.70e-05 |  2.5801e-01  2.5828e-01 1.80e-04 |  52.3 | 6.2e+00 
 3200 | 1.96e-05 2.56e-05 |  2.5802e-01  2.5826e-01 1.60e-04 |  53.9 | 6.2e+00 
 3300 | 2.04e-05 2.43e-05 |  2.5803e-01  2.5825e-01 1.46e-04 |  55.6 | 6.2e+00 
 3400 | 1.85e-05 2.33e-05 |  2.5803e-01  2.5824e-01 1.39e-04 |  57.2 | 6.2e+00 
 3500 | 2.68e-05 2.21e-05 |  2.5802e-01  2.5823e-01 1.35e-04 |  58.9 | 1.2e+01 
 3600 | 1.98e-05 2.13e-05 |  2.5801e-01  2.5822e-01 1.38e-04 |  60.8 | 1.2e+01 
 3700 | 3.17e-05 2.01e-05 |  2.5802e-01  2.5820e-01 1.22e-04 |  62.6 | 1.2e+01 
 3800 | 1.24e-05 1.98e-05 |  2.5803e-01  2.5819e-01 1.10e-04 |  64.2 | 3.1e+00 
 3900 | 1.34e-05 1.91e-05 |  2.5803e-01  2.5819e-01 1.11e-04 |  65.9 | 1.2e+01 
 4000 | 1.85e-05 1.82e-05 |  2.5803e-01  2.5819e-01 1.03e-04 |  67.5 | 1.2e+01 
 4100 | 1.28e-05 1.77e-05 |  2.5802e-01  2.5818e-01 1.06e-04 |  69.1 | 1.2e+01 
 4200 | 1.71e-05 1.68e-05 |  2.5803e-01  2.5818e-01 9.74e-05 |  70.8 | 1.2e+01 
 4300 | 1.21e-05 1.64e-05 |  2.5802e-01  2.5818e-01 9.95e-05 |  72.5 | 1.2e+01 
 4400 | 1.46e-05 1.56e-05 |  2.5803e-01  2.5817e-01 9.22e-05 |  74.1 | 1.2e+01 
 4500 | 1.59e-05 1.49e-05 |  2.5803e-01  2.5817e-01 8.95e-05 |  75.7 | 1.2e+01 
 4600 | 1.10e-05 1.46e-05 |  2.5802e-01  2.5816e-01 9.23e-05 |  77.4 | 1.2e+01 
 4700 | 4.76e-05 1.33e-05 |  2.5800e-01  2.5816e-01 1.05e-04 |  79.0 | 5.0e+01 
 4800 | 1.88e-05 1.27e-05 |  2.5802e-01  2.5815e-01 8.81e-05 |  80.7 | 1.2e+01 
 4900 | 8.41e-06 1.26e-05 |  2.5803e-01  2.5815e-01 7.68e-05 |  82.3 | 3.1e+00 
 5000 | 9.39e-06 1.23e-05 |  2.5803e-01  2.5815e-01 7.70e-05 |  84.0 | 1.2e+01 
 5100 | 1.16e-05 1.16e-05 |  2.5803e-01  2.5815e-01 7.82e-05 |  85.6 | 2.5e+01 
 5200 | 1.69e-05 1.10e-05 |  2.5803e-01  2.5815e-01 7.78e-05 |  87.2 | 2.5e+01 
 5300 | 1.67e-05 1.04e-05 |  2.5803e-01  2.5814e-01 7.70e-05 |  88.8 | 2.5e+01 
 5400 | 1.60e-05 9.90e-06 |  2.5802e-01  2.5814e-01 7.65e-05 |  90.5 | 2.5e+01 
 5500 | 9.62e-06 9.64e-06 |  2.5803e-01  2.5814e-01 7.29e-05 |  92.2 | 1.2e+01 
 5600 | 7.92e-06 9.39e-06 |  2.5803e-01  2.5814e-01 7.03e-05 |  93.9 | 1.2e+01 
 5700 | 1.14e-05 8.93e-06 |  2.5803e-01  2.5813e-01 7.11e-05 |  95.5 | 2.5e+01 
 5800 | 1.36e-05 8.50e-06 |  2.5802e-01  2.5813e-01 7.08e-05 |  97.1 | 2.5e+01 
 5900 | 8.21e-06 8.29e-06 |  2.5803e-01  2.5813e-01 6.70e-05 |  98.7 | 1.2e+01 
 6000 | 7.01e-06 8.09e-06 |  2.5803e-01  2.5813e-01 6.44e-05 | 100.3 | 1.2e+01 
 6100 | 6.64e-06 7.89e-06 |  2.5803e-01  2.5813e-01 6.24e-05 | 101.9 | 1.2e+01 
 6200 | 6.40e-06 7.71e-06 |  2.5803e-01  2.5813e-01 6.06e-05 | 103.5 | 1.2e+01 
 6300 | 9.77e-06 7.36e-06 |  2.5803e-01  2.5812e-01 6.14e-05 | 105.2 | 2.5e+01 
 6400 | 1.10e-05 7.02e-06 |  2.5803e-01  2.5812e-01 6.09e-05 | 106.9 | 2.5e+01 
 6500 | 6.74e-06 6.86e-06 |  2.5803e-01  2.5812e-01 5.75e-05 | 108.5 | 1.2e+01 
 6600 | 5.90e-06 6.70e-06 |  2.5803e-01  2.5812e-01 5.52e-05 | 110.2 | 1.2e+01 
 6700 | 8.19e-06 6.41e-06 |  2.5803e-01  2.5812e-01 5.59e-05 | 111.9 | 2.5e+01 
 6800 | 9.76e-06 6.13e-06 |  2.5803e-01  2.5811e-01 5.55e-05 | 113.5 | 2.5e+01 
 6900 | 6.17e-06 5.99e-06 |  2.5803e-01  2.5811e-01 5.22e-05 | 115.2 | 1.2e+01 
 7000 | 5.46e-06 5.85e-06 |  2.5804e-01  2.5811e-01 5.01e-05 | 117.0 | 1.2e+01 
 7100 | 5.20e-06 5.73e-06 |  2.5804e-01  2.5811e-01 4.85e-05 | 118.8 | 1.2e+01 
 7200 | 5.01e-06 5.60e-06 |  2.5804e-01  2.5811e-01 4.70e-05 | 120.8 | 1.2e+01 
 7300 | 7.28e-06 5.37e-06 |  2.5804e-01  2.5811e-01 4.76e-05 | 122.7 | 2.5e+01 
 7400 | 8.18e-06 5.15e-06 |  2.5804e-01  2.5811e-01 4.71e-05 | 124.3 | 2.5e+01 
 7500 | 5.20e-06 5.03e-06 |  2.5804e-01  2.5811e-01 4.43e-05 | 126.0 | 1.2e+01 
 7600 | 4.66e-06 4.93e-06 |  2.5804e-01  2.5811e-01 4.25e-05 | 127.6 | 1.2e+01 
 7700 | 4.01e-06 4.87e-06 |  2.5805e-01  2.5811e-01 3.95e-05 | 129.3 | 6.2e+00 
 7800 | 3.52e-06 4.82e-06 |  2.5805e-01  2.5810e-01 3.71e-05 | 131.1 | 6.2e+00 
 7900 | 3.42e-06 4.72e-06 |  2.5805e-01  2.5810e-01 3.64e-05 | 132.8 | 1.2e+01 
 8000 | 3.39e-06 4.62e-06 |  2.5805e-01  2.5810e-01 3.54e-05 | 134.4 | 1.2e+01 
 8100 | 5.70e-06 4.44e-06 |  2.5805e-01  2.5810e-01 3.60e-05 | 136.0 | 2.5e+01 
 8200 | 6.42e-06 4.27e-06 |  2.5805e-01  2.5810e-01 3.57e-05 | 137.7 | 2.5e+01 
 8300 | 3.71e-06 4.18e-06 |  2.5805e-01  2.5810e-01 3.36e-05 | 139.5 | 1.2e+01 
 8400 | 3.26e-06 4.09e-06 |  2.5805e-01  2.5810e-01 3.23e-05 | 141.1 | 1.2e+01 
 8500 | 4.89e-06 3.94e-06 |  2.5805e-01  2.5810e-01 3.29e-05 | 142.7 | 2.5e+01 
 8600 | 5.95e-06 3.78e-06 |  2.5805e-01  2.5810e-01 3.26e-05 | 144.3 | 2.5e+01 
 8700 | 3.66e-06 3.71e-06 |  2.5805e-01  2.5810e-01 3.06e-05 | 145.9 | 1.2e+01 
 8800 | 3.23e-06 3.63e-06 |  2.5805e-01  2.5810e-01 2.95e-05 | 147.5 | 1.2e+01 
 8900 | 4.57e-06 3.50e-06 |  2.5805e-01  2.5810e-01 3.00e-05 | 149.1 | 2.5e+01 
