Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/stab2dual_rd/
              vector length: 90136
      number of constraints: 3456
           number of blocks: 2
  number of non-zeros in At: 557492
  number of non-zeros in  b: 70
  number of non-zeros in  C: 0

Analysis of the blk vector:
        1 matrices of size    8 (small)
        1 matrices of size  424 (medium)

 ||C|| = 1, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 1e-06
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 0.00e+00 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.7 | 1.0e+02 
   50 | 3.19e-03 2.27e-04 |  0.0000e+00  3.9331e-05 3.93e-05 |   1.8 | 3.1e+00 
  100 | 2.41e-03 2.86e-03 |  0.0000e+00  6.2562e-04 6.25e-04 |   2.9 | 9.8e-02 
  150 | 1.31e-03 2.10e-03 |  0.0000e+00  6.5512e-04 6.55e-04 |   3.9 | 3.9e-01 
  200 | 1.52e-03 9.12e-04 |  0.0000e+00  3.6421e-04 3.64e-04 |   5.0 | 1.6e+00 
  300 | 4.60e-04 5.07e-04 |  0.0000e+00  2.0186e-04 2.02e-04 |   7.1 | 3.9e-01 
  400 | 3.04e-04 3.41e-04 |  0.0000e+00  1.5252e-04 1.52e-04 |   9.2 | 3.9e-01 
  500 | 2.45e-04 2.58e-04 |  0.0000e+00  1.2031e-04 1.20e-04 |  11.3 | 3.9e-01 
  600 | 2.04e-04 2.07e-04 |  0.0000e+00  1.0091e-04 1.01e-04 |  13.4 | 3.9e-01 
  700 | 1.80e-04 1.74e-04 |  0.0000e+00  8.7473e-05 8.75e-05 |  15.4 | 7.8e-01 
  800 | 1.59e-04 1.66e-04 |  0.0000e+00  8.1929e-05 8.19e-05 |  17.5 | 7.8e-01 
  900 | 1.41e-04 1.38e-04 |  0.0000e+00  7.2084e-05 7.21e-05 |  19.6 | 7.8e-01 
 1000 | 1.29e-04 1.33e-04 |  0.0000e+00  6.8339e-05 6.83e-05 |  21.7 | 7.8e-01 
 1100 | 1.16e-04 1.15e-04 |  0.0000e+00  6.1642e-05 6.16e-05 |  23.8 | 7.8e-01 
 1200 | 1.08e-04 1.09e-04 |  0.0000e+00  5.8663e-05 5.87e-05 |  25.9 | 7.8e-01 
 1300 | 1.01e-04 9.74e-05 |  0.0000e+00  5.3671e-05 5.37e-05 |  28.0 | 7.8e-01 
 1400 | 9.65e-05 9.94e-05 |  0.0000e+00  5.1900e-05 5.19e-05 |  30.1 | 2.0e-01 
 1500 | 9.14e-05 9.35e-05 |  0.0000e+00  5.0760e-05 5.08e-05 |  32.2 | 7.8e-01 
 1600 | 8.55e-05 8.48e-05 |  0.0000e+00  4.7599e-05 4.76e-05 |  34.3 | 7.8e-01 
 1700 | 8.19e-05 8.18e-05 |  0.0000e+00  4.6137e-05 4.61e-05 |  36.4 | 7.8e-01 
 1800 | 7.80e-05 7.56e-05 |  0.0000e+00  4.3424e-05 4.34e-05 |  38.5 | 7.8e-01 
 1900 | 7.57e-05 7.66e-05 |  0.0000e+00  4.2333e-05 4.23e-05 |  40.6 | 2.0e-01 
 2000 | 7.42e-05 8.17e-05 |  0.0000e+00  4.1773e-05 4.18e-05 |  42.7 | 2.0e-01 
 2100 | 7.06e-05 7.68e-05 |  0.0000e+00  4.2028e-05 4.20e-05 |  44.8 | 7.8e-01 
 2200 | 8.28e-05 6.67e-05 |  0.0000e+00  3.9080e-05 3.91e-05 |  46.9 | 3.1e+00 
 2300 | 6.12e-05 6.25e-05 |  0.0000e+00  3.6924e-05 3.69e-05 |  49.0 | 7.8e-01 
 2400 | 5.74e-05 6.08e-05 |  0.0000e+00  3.6196e-05 3.62e-05 |  51.1 | 7.8e-01 
 2500 | 6.35e-05 5.49e-05 |  0.0000e+00  3.3709e-05 3.37e-05 |  53.2 | 3.1e+00 
 2600 | 5.18e-05 5.22e-05 |  0.0000e+00  3.2063e-05 3.21e-05 |  55.3 | 7.8e-01 
 2700 | 4.98e-05 5.11e-05 |  0.0000e+00  3.1509e-05 3.15e-05 |  57.4 | 7.8e-01 
 2800 | 5.41e-05 4.70e-05 |  0.0000e+00  2.9747e-05 2.97e-05 |  59.5 | 3.1e+00 
 2900 | 4.55e-05 4.51e-05 |  0.0000e+00  2.8524e-05 2.85e-05 |  61.5 | 7.8e-01 
 3000 | 4.36e-05 4.43e-05 |  0.0000e+00  2.8107e-05 2.81e-05 |  63.6 | 7.8e-01 
 3100 | 4.64e-05 4.12e-05 |  0.0000e+00  2.6692e-05 2.67e-05 |  65.7 | 3.1e+00 
 3200 | 4.01e-05 3.97e-05 |  0.0000e+00  2.5716e-05 2.57e-05 |  67.8 | 7.8e-01 
 3300 | 3.87e-05 3.92e-05 |  0.0000e+00  2.5383e-05 2.54e-05 |  69.9 | 7.8e-01 
 3400 | 4.09e-05 3.68e-05 |  0.0000e+00  2.4305e-05 2.43e-05 |  72.0 | 3.1e+00 
 3500 | 3.59e-05 3.56e-05 |  0.0000e+00  2.3526e-05 2.35e-05 |  74.1 | 7.8e-01 
 3600 | 3.47e-05 3.52e-05 |  0.0000e+00  2.3253e-05 2.33e-05 |  76.2 | 7.8e-01 
 3700 | 3.63e-05 3.33e-05 |  0.0000e+00  2.2362e-05 2.24e-05 |  78.3 | 3.1e+00 
 3800 | 3.23e-05 3.24e-05 |  0.0000e+00  2.1714e-05 2.17e-05 |  80.4 | 7.8e-01 
 3900 | 3.14e-05 3.20e-05 |  0.0000e+00  2.1484e-05 2.15e-05 |  82.5 | 7.8e-01 
 4000 | 3.26e-05 3.04e-05 |  0.0000e+00  2.0763e-05 2.08e-05 |  84.6 | 3.1e+00 
 4100 | 2.94e-05 2.97e-05 |  0.0000e+00  2.0220e-05 2.02e-05 |  86.7 | 7.8e-01 
 4200 | 2.87e-05 2.90e-05 |  0.0000e+00  1.9881e-05 1.99e-05 |  88.8 | 1.6e+00 
 4300 | 2.83e-05 2.77e-05 |  0.0000e+00  1.9161e-05 1.92e-05 |  90.9 | 1.6e+00 
 4400 | 2.69e-05 2.75e-05 |  0.0000e+00  1.8878e-05 1.89e-05 |  93.0 | 3.9e-01 
 4500 | 2.63e-05 2.68e-05 |  0.0000e+00  1.8642e-05 1.86e-05 |  95.1 | 1.6e+00 
 4600 | 2.58e-05 2.57e-05 |  0.0000e+00  1.8021e-05 1.80e-05 |  97.2 | 1.6e+00 
 4700 | 2.48e-05 2.52e-05 |  0.0000e+00  1.7706e-05 1.77e-05 |  99.3 | 1.6e+00 
 4800 | 2.45e-05 2.42e-05 |  0.0000e+00  1.7155e-05 1.72e-05 | 101.4 | 1.6e+00 
 4900 | 2.35e-05 2.38e-05 |  0.0000e+00  1.6868e-05 1.69e-05 | 103.5 | 1.6e+00 
 5000 | 2.32e-05 2.29e-05 |  0.0000e+00  1.6367e-05 1.64e-05 | 105.6 | 1.6e+00 
 5100 | 2.22e-05 2.26e-05 |  0.0000e+00  1.6151e-05 1.62e-05 | 107.7 | 7.8e-01 
 5200 | 2.18e-05 2.24e-05 |  0.0000e+00  1.6009e-05 1.60e-05 | 109.8 | 7.8e-01 
 5300 | 2.14e-05 2.19e-05 |  0.0000e+00  1.5741e-05 1.57e-05 | 111.9 | 1.6e+00 
 5400 | 2.10e-05 2.14e-05 |  0.0000e+00  1.5446e-05 1.54e-05 | 114.0 | 1.6e+00 
 5500 | 2.21e-05 2.05e-05 |  0.0000e+00  1.4933e-05 1.49e-05 | 116.1 | 3.1e+00 
 5600 | 2.24e-05 1.97e-05 |  0.0000e+00  1.4420e-05 1.44e-05 | 118.2 | 3.1e+00 
 5700 | 2.00e-05 1.92e-05 |  0.0000e+00  1.4111e-05 1.41e-05 | 120.3 | 1.6e+00 
 5800 | 1.92e-05 1.88e-05 |  0.0000e+00  1.3872e-05 1.39e-05 | 122.4 | 1.6e+00 
 5900 | 1.85e-05 1.87e-05 |  0.0000e+00  1.3722e-05 1.37e-05 | 124.5 | 7.8e-01 
 6000 | 1.81e-05 1.85e-05 |  0.0000e+00  1.3619e-05 1.36e-05 | 126.6 | 7.8e-01 
 6100 | 1.78e-05 1.81e-05 |  0.0000e+00  1.3434e-05 1.34e-05 | 128.7 | 1.6e+00 
 6200 | 1.75e-05 1.78e-05 |  0.0000e+00  1.3224e-05 1.32e-05 | 130.8 | 1.6e+00 
 6300 | 1.81e-05 1.72e-05 |  0.0000e+00  1.2856e-05 1.29e-05 | 132.9 | 3.1e+00 
 6400 | 1.82e-05 1.66e-05 |  0.0000e+00  1.2485e-05 1.25e-05 | 135.0 | 3.1e+00 
 6500 | 1.66e-05 1.63e-05 |  0.0000e+00  1.2261e-05 1.23e-05 | 137.1 | 1.6e+00 
 6600 | 1.61e-05 1.60e-05 |  0.0000e+00  1.2085e-05 1.21e-05 | 139.2 | 1.6e+00 
 6700 | 1.57e-05 1.59e-05 |  0.0000e+00  1.1972e-05 1.20e-05 | 141.2 | 7.8e-01 
 6800 | 1.54e-05 1.58e-05 |  0.0000e+00  1.1895e-05 1.19e-05 | 143.3 | 7.8e-01 
 6900 | 1.52e-05 1.55e-05 |  0.0000e+00  1.1761e-05 1.18e-05 | 145.4 | 1.6e+00 
 7000 | 1.50e-05 1.53e-05 |  0.0000e+00  1.1605e-05 1.16e-05 | 147.5 | 1.6e+00 
 7100 | 1.54e-05 1.48e-05 |  0.0000e+00  1.1329e-05 1.13e-05 | 149.6 | 3.1e+00 
 7200 | 1.55e-05 1.44e-05 |  0.0000e+00  1.1049e-05 1.10e-05 | 151.7 | 3.1e+00 
 7300 | 1.43e-05 1.41e-05 |  0.0000e+00  1.0879e-05 1.09e-05 | 153.8 | 1.6e+00 
 7400 | 1.39e-05 1.39e-05 |  0.0000e+00  1.0743e-05 1.07e-05 | 155.9 | 1.6e+00 
 7500 | 1.36e-05 1.39e-05 |  0.0000e+00  1.0654e-05 1.07e-05 | 158.0 | 7.8e-01 
 7600 | 1.35e-05 1.38e-05 |  0.0000e+00  1.0593e-05 1.06e-05 | 160.1 | 7.8e-01 
 7700 | 1.33e-05 1.36e-05 |  0.0000e+00  1.0492e-05 1.05e-05 | 162.2 | 1.6e+00 
 7800 | 1.31e-05 1.34e-05 |  0.0000e+00  1.0371e-05 1.04e-05 | 164.3 | 1.6e+00 
 7900 | 1.34e-05 1.30e-05 |  0.0000e+00  1.0158e-05 1.02e-05 | 166.4 | 3.1e+00 
 8000 | 1.34e-05 1.27e-05 |  0.0000e+00  9.9394e-06 9.94e-06 | 168.5 | 3.1e+00 
 8100 | 1.26e-05 1.25e-05 |  0.0000e+00  9.8048e-06 9.80e-06 | 170.6 | 1.6e+00 
 8200 | 1.23e-05 1.24e-05 |  0.0000e+00  9.6978e-06 9.70e-06 | 172.7 | 1.6e+00 
 8300 | 1.21e-05 1.23e-05 |  0.0000e+00  9.6248e-06 9.62e-06 | 174.7 | 7.8e-01 
 8400 | 1.20e-05 1.22e-05 |  0.0000e+00  9.5748e-06 9.57e-06 | 176.8 | 7.8e-01 
 8500 | 1.19e-05 1.21e-05 |  0.0000e+00  9.4962e-06 9.50e-06 | 178.9 | 1.6e+00 
 8600 | 1.17e-05 1.19e-05 |  0.0000e+00  9.4012e-06 9.40e-06 | 181.0 | 1.6e+00 
 8700 | 1.19e-05 1.16e-05 |  0.0000e+00  9.2319e-06 9.23e-06 | 183.1 | 3.1e+00 
 8800 | 1.19e-05 1.14e-05 |  0.0000e+00  9.0569e-06 9.06e-06 | 185.2 | 3.1e+00 
 8900 | 1.13e-05 1.12e-05 |  0.0000e+00  8.9482e-06 8.95e-06 | 187.3 | 1.6e+00 
 9000 | 1.11e-05 1.11e-05 |  0.0000e+00  8.8616e-06 8.86e-06 | 189.4 | 1.6e+00 
