Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/stabpded_rd1/
              vector length: 196
      number of constraints: 54
           number of blocks: 3
  number of non-zeros in At: 1054
  number of non-zeros in  b: 6
  number of non-zeros in  C: 0

Analysis of the blk vector:
        1 matrices of size    6 (small)
        1 matrices of size   10 (small)
        1 matrices of size   15 (small)

 ||C|| = 1, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 1e-06
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 0.00e+00 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.1 | 1.0e+02 
   50 | 7.14e-03 8.98e-04 |  0.0000e+00  9.4435e-04 9.43e-04 |   0.4 | 3.1e+00 
  100 | 3.37e-03 7.36e-03 |  0.0000e+00  9.1482e-03 9.07e-03 |   0.6 | 3.9e-01 
  150 | 2.20e-03 3.50e-03 |  0.0000e+00  4.0894e-03 4.07e-03 |   0.8 | 7.8e-01 
  200 | 1.07e-03 1.84e-03 |  0.0000e+00  3.4578e-03 3.45e-03 |   1.0 | 1.6e+00 
  300 | 1.85e-03 8.36e-04 |  0.0000e+00  1.9488e-03 1.95e-03 |   1.4 | 3.1e+00 
  400 | 8.38e-04 5.38e-04 |  0.0000e+00  1.3136e-03 1.31e-03 |   1.9 | 3.1e+00 
  500 | 4.80e-04 3.96e-04 |  0.0000e+00  1.0006e-03 1.00e-03 |   2.3 | 3.1e+00 
  600 | 3.24e-04 3.14e-04 |  0.0000e+00  8.0388e-04 8.03e-04 |   2.7 | 3.1e+00 
  700 | 2.38e-04 2.60e-04 |  0.0000e+00  6.7094e-04 6.70e-04 |   3.1 | 3.1e+00 
  800 | 1.81e-04 2.09e-04 |  0.0000e+00  5.3498e-04 5.35e-04 |   3.5 | 1.6e+00 
  900 | 4.09e-04 1.69e-04 |  0.0000e+00  4.4829e-04 4.48e-04 |   4.0 | 6.2e+00 
 1000 | 1.50e-04 1.38e-04 |  0.0000e+00  3.6915e-04 3.69e-04 |   4.4 | 3.1e+00 
 1100 | 1.05e-04 1.20e-04 |  0.0000e+00  3.2509e-04 3.25e-04 |   4.8 | 3.1e+00 
 1200 | 9.80e-05 9.35e-05 |  0.0000e+00  2.7618e-04 2.76e-04 |   5.2 | 3.1e+00 
 1300 | 8.52e-05 8.11e-05 |  0.0000e+00  2.4730e-04 2.47e-04 |   5.6 | 3.1e+00 
 1400 | 7.10e-05 7.12e-05 |  0.0000e+00  2.2159e-04 2.22e-04 |   6.0 | 3.1e+00 
 1500 | 6.28e-05 6.00e-05 |  0.0000e+00  1.8563e-04 1.86e-04 |   6.4 | 3.1e+00 
 1600 | 5.85e-05 5.50e-05 |  0.0000e+00  1.6765e-04 1.68e-04 |   6.9 | 3.1e+00 
 1700 | 5.03e-05 5.10e-05 |  0.0000e+00  1.5392e-04 1.54e-04 |   7.3 | 3.1e+00 
 1800 | 5.58e-05 4.57e-05 |  0.0000e+00  1.3930e-04 1.39e-04 |   7.7 | 3.1e+00 
 1900 | 3.54e-05 4.74e-05 |  0.0000e+00  1.2576e-04 1.26e-04 |   8.1 | 7.8e-01 
 2000 | 3.77e-05 4.08e-05 |  0.0000e+00  1.1995e-04 1.20e-04 |   8.5 | 3.1e+00 
 2100 | 3.82e-05 3.70e-05 |  0.0000e+00  1.1246e-04 1.12e-04 |   8.9 | 3.1e+00 
 2200 | 2.81e-05 3.48e-05 |  0.0000e+00  1.0624e-04 1.06e-04 |   9.3 | 3.1e+00 
 2300 | 3.07e-05 3.23e-05 |  0.0000e+00  9.9448e-05 9.94e-05 |   9.7 | 3.1e+00 
 2400 | 3.27e-05 2.99e-05 |  0.0000e+00  9.2853e-05 9.28e-05 |  10.1 | 3.1e+00 
 2500 | 2.50e-05 2.83e-05 |  0.0000e+00  8.7540e-05 8.75e-05 |  10.5 | 3.1e+00 
 2600 | 2.62e-05 2.64e-05 |  0.0000e+00  8.2095e-05 8.21e-05 |  10.9 | 3.1e+00 
 2700 | 2.13e-05 2.53e-05 |  0.0000e+00  7.7907e-05 7.79e-05 |  11.3 | 3.1e+00 
 2800 | 2.28e-05 2.37e-05 |  0.0000e+00  7.3678e-05 7.37e-05 |  11.7 | 3.1e+00 
 2900 | 1.78e-05 2.27e-05 |  0.0000e+00  7.0262e-05 7.03e-05 |  12.1 | 3.1e+00 
 3000 | 1.93e-05 2.15e-05 |  0.0000e+00  6.6949e-05 6.69e-05 |  12.5 | 3.1e+00 
 3100 | 2.14e-05 2.03e-05 |  0.0000e+00  6.3479e-05 6.35e-05 |  12.9 | 3.1e+00 
 3200 | 1.47e-05 1.95e-05 |  0.0000e+00  6.0528e-05 6.05e-05 |  13.3 | 3.1e+00 
 3300 | 1.52e-05 1.86e-05 |  0.0000e+00  5.8193e-05 5.82e-05 |  13.7 | 3.1e+00 
 3400 | 1.87e-05 1.76e-05 |  0.0000e+00  5.5299e-05 5.53e-05 |  14.1 | 3.1e+00 
 3500 | 1.31e-05 1.71e-05 |  0.0000e+00  5.3009e-05 5.30e-05 |  14.5 | 3.1e+00 
 3600 | 1.36e-05 1.63e-05 |  0.0000e+00  5.1227e-05 5.12e-05 |  14.9 | 3.1e+00 
 3700 | 2.29e-05 1.56e-05 |  0.0000e+00  4.8825e-05 4.88e-05 |  15.3 | 6.2e+00 
 3800 | 1.14e-05 1.53e-05 |  0.0000e+00  4.7314e-05 4.73e-05 |  15.7 | 1.6e+00 
 3900 | 1.83e-05 1.45e-05 |  0.0000e+00  4.5277e-05 4.53e-05 |  16.1 | 6.2e+00 
 4000 | 8.50e-06 1.43e-05 |  0.0000e+00  4.4613e-05 4.46e-05 |  16.5 | 1.6e+00 
 4100 | 2.19e-05 1.36e-05 |  0.0000e+00  4.2375e-05 4.24e-05 |  16.9 | 6.2e+00 
 4200 | 9.72e-06 1.35e-05 |  0.0000e+00  4.1275e-05 4.13e-05 |  17.4 | 1.6e+00 
 4300 | 1.82e-05 1.27e-05 |  0.0000e+00  3.9761e-05 3.98e-05 |  17.8 | 6.2e+00 
 4400 | 6.85e-06 1.28e-05 |  0.0000e+00  3.9501e-05 3.95e-05 |  18.2 | 1.6e+00 
 4500 | 2.35e-05 1.20e-05 |  0.0000e+00  3.7605e-05 3.76e-05 |  18.6 | 6.2e+00 
 4600 | 1.07e-05 1.24e-05 |  0.0000e+00  3.6569e-05 3.66e-05 |  19.0 | 1.6e+00 
 4700 | 9.37e-06 1.19e-05 |  0.0000e+00  3.5541e-05 3.55e-05 |  19.4 | 1.6e+00 
 4800 | 1.19e-05 1.18e-05 |  0.0000e+00  3.5809e-05 3.58e-05 |  19.8 | 1.6e+00 
 4900 | 6.51e-06 1.17e-05 |  0.0000e+00  3.5288e-05 3.53e-05 |  20.2 | 1.6e+00 
 5000 | 1.70e-05 1.10e-05 |  0.0000e+00  3.4245e-05 3.42e-05 |  20.6 | 3.1e+00 
 5100 | 6.01e-06 1.15e-05 |  0.0000e+00  3.3578e-05 3.36e-05 |  21.0 | 1.6e+00 
 5200 | 8.57e-06 1.07e-05 |  0.0000e+00  3.3477e-05 3.35e-05 |  21.4 | 1.6e+00 
 5300 | 5.52e-06 1.05e-05 |  0.0000e+00  3.2939e-05 3.29e-05 |  21.8 | 3.1e+00 
 5400 | 7.58e-06 1.03e-05 |  0.0000e+00  3.2228e-05 3.22e-05 |  22.2 | 3.1e+00 
 5500 | 1.15e-05 9.93e-06 |  0.0000e+00  3.1117e-05 3.11e-05 |  22.6 | 6.2e+00 
 5600 | 1.31e-05 9.54e-06 |  0.0000e+00  3.0085e-05 3.01e-05 |  23.0 | 6.2e+00 
 5700 | 8.00e-06 9.26e-06 |  0.0000e+00  2.9345e-05 2.93e-05 |  23.4 | 3.1e+00 
 5800 | 7.01e-06 9.06e-06 |  0.0000e+00  2.8599e-05 2.86e-05 |  23.8 | 3.1e+00 
 5900 | 9.61e-06 8.73e-06 |  0.0000e+00  2.7636e-05 2.76e-05 |  24.2 | 6.2e+00 
 6000 | 1.06e-05 8.44e-06 |  0.0000e+00  2.6751e-05 2.68e-05 |  24.6 | 6.2e+00 
 6100 | 7.60e-06 8.23e-06 |  0.0000e+00  2.6081e-05 2.61e-05 |  25.0 | 3.1e+00 
 6200 | 6.59e-06 8.01e-06 |  0.0000e+00  2.5417e-05 2.54e-05 |  25.4 | 3.1e+00 
 6300 | 8.31e-06 7.77e-06 |  0.0000e+00  2.4598e-05 2.46e-05 |  25.8 | 6.2e+00 
 6400 | 8.97e-06 7.54e-06 |  0.0000e+00  2.3889e-05 2.39e-05 |  26.2 | 6.2e+00 
 6500 | 6.42e-06 7.37e-06 |  0.0000e+00  2.3354e-05 2.34e-05 |  26.6 | 3.1e+00 
 6600 | 5.53e-06 7.19e-06 |  0.0000e+00  2.2797e-05 2.28e-05 |  27.0 | 3.1e+00 
 6700 | 7.18e-06 6.97e-06 |  0.0000e+00  2.2129e-05 2.21e-05 |  27.3 | 6.2e+00 
 6800 | 7.32e-06 6.79e-06 |  0.0000e+00  2.1539e-05 2.15e-05 |  27.7 | 6.2e+00 
 6900 | 5.45e-06 6.64e-06 |  0.0000e+00  2.1115e-05 2.11e-05 |  28.1 | 3.1e+00 
 7000 | 4.69e-06 6.49e-06 |  0.0000e+00  2.0661e-05 2.07e-05 |  28.5 | 3.1e+00 
 7100 | 6.35e-06 6.30e-06 |  0.0000e+00  2.0076e-05 2.01e-05 |  28.9 | 6.2e+00 
 7200 | 6.23e-06 6.15e-06 |  0.0000e+00  1.9585e-05 1.96e-05 |  29.3 | 6.2e+00 
 7300 | 1.39e-05 5.92e-06 |  0.0000e+00  1.8787e-05 1.88e-05 |  29.7 | 1.2e+01 
 7400 | 1.84e-05 5.67e-06 |  0.0000e+00  1.8027e-05 1.80e-05 |  30.1 | 1.2e+01 
 7500 | 1.29e-05 5.44e-06 |  0.0000e+00  1.7444e-05 1.74e-05 |  30.5 | 6.2e+00 
 7600 | 1.06e-05 5.22e-06 |  0.0000e+00  1.6808e-05 1.68e-05 |  30.9 | 6.2e+00 
 7700 | 6.29e-06 5.10e-06 |  0.0000e+00  1.6408e-05 1.64e-05 |  31.3 | 3.1e+00 
 7800 | 4.35e-06 4.99e-06 |  0.0000e+00  1.6005e-05 1.60e-05 |  31.7 | 3.1e+00 
 7900 | 3.02e-06 4.96e-06 |  0.0000e+00  1.5758e-05 1.58e-05 |  32.0 | 1.6e+00 
 8000 | 2.64e-06 4.90e-06 |  0.0000e+00  1.5611e-05 1.56e-05 |  32.4 | 1.6e+00 
 8100 | 2.85e-06 4.78e-06 |  0.0000e+00  1.5424e-05 1.54e-05 |  32.8 | 3.1e+00 
 8200 | 2.77e-06 4.71e-06 |  0.0000e+00  1.5241e-05 1.52e-05 |  33.2 | 3.1e+00 
 8300 | 3.67e-06 4.61e-06 |  0.0000e+00  1.4875e-05 1.49e-05 |  33.6 | 6.2e+00 
 8400 | 4.35e-06 4.51e-06 |  0.0000e+00  1.4535e-05 1.45e-05 |  34.0 | 6.2e+00 
 8500 | 9.87e-06 4.37e-06 |  0.0000e+00  1.4000e-05 1.40e-05 |  34.4 | 1.2e+01 
 8600 | 1.28e-05 4.21e-06 |  0.0000e+00  1.3494e-05 1.35e-05 |  34.8 | 1.2e+01 
 8700 | 9.72e-06 4.06e-06 |  0.0000e+00  1.3090e-05 1.31e-05 |  35.2 | 6.2e+00 
 8800 | 8.19e-06 3.93e-06 |  0.0000e+00  1.2656e-05 1.27e-05 |  35.6 | 6.2e+00 
 8900 | 5.04e-06 3.86e-06 |  0.0000e+00  1.2339e-05 1.23e-05 |  36.0 | 3.1e+00 
